Date,WrappedBitcoin Return,WrappedBitcoin Price,Famala Index,US Treasury Yield,Famala Index Return
2020-03-15,0.038967780489155716,5418.4112158,4146.443039648618,0.94,0.03890280371513087
2020-03-16,-0.07294156243525701,5037.25391988,3886.582129725557,0.73,-0.06267080180247264
2020-03-17,0.03007322360457242,5191.04123325,4060.1887970475054,1.02,0.044668210146432
2020-03-18,0.026649628376519626,5331.24038324,4069.2762265977694,1.18,0.0022381790612476487
2020-03-19,0.15048232918345686,6197.00590954,4813.855623471166,1.12,0.18297587959417605
2020-03-20,0.006935111926512529,6240.13220914,4856.5443389166,0.92,0.008867884453637282
2020-03-21,-0.005114284450981449,6208.29986722,4838.900658997218,0.92,-0.0036329700066773155
2020-03-22,-0.05945770152362253,5849.9281759,4572.063755187342,0.92,-0.05514411694187847
2020-03-23,0.10465473111059123,6495.33427074,5049.777253897549,0.76,0.10448530998024802
2020-03-24,0.036557397638495547,6737.18048877,5318.701618520539,0.84,0.053254698395939715
2020-03-25,-0.003558167757744108,6713.25106807,5284.778702018945,0.88,-0.006378044668546402
2020-03-26,0.010923076721563863,6786.98237782,5280.262511511776,0.83,-0.0008545656803838851
2020-03-27,-0.04408109719427289,6494.30295465,5071.9582332108785,0.72,-0.039449606500957614
2020-03-28,-0.03373030157036624,6278.90135995,4871.847514654059,0.72,-0.039454330922227804
2020-03-29,-0.0549233180222872,5943.34261245,4619.105084609371,0.72,-0.05187814874838794
2020-03-30,0.07692743059448541,6418.59428539,5043.506004189857,0.70,0.09187946838329537
2020-03-31,0.010082653099075477,6483.63810104,5041.533145607162,0.70,-0.0003911680844746124
2020-04-01,0.019960021764792835,6614.35184353,5190.774532670934,0.62,0.029602381409276353
2020-04-02,0.035093994944519424,6850.59702132,5336.248357425941,0.63,0.028025456285837462
2020-04-03,-0.0030930957067093327,6829.44020598,5273.465043187633,0.62,-0.011765440817787146
2020-04-04,0.010196427270938842,6899.43232471,5382.530517475077,0.62,0.020681937472656207
2020-04-05,-0.00968628261615339,6832.92509722,5318.534081538297,0.62,-0.011889655939526551
2020-04-06,0.07772885299596503,7385.22739381,5622.4762377738625,0.67,0.05714773123116951
