Date,Aave Return,Aave Price,Famala Index,US Treasury Yield,Famala Index Return
2020-10-06,-0.22723397612761764,42.40159861,7704.844057276186,0.76,-0.01205658444130554
2020-10-07,-0.05620942086951807,40.08397561,7749.252253519435,0.81,0.005763672296691284
2020-10-08,0.08784549867757951,43.76446306,7922.494036982404,0.78,0.02235593548839365
2020-10-09,0.06744013716797484,46.81774415,7987.064964105798,0.79,0.008150328270614644
2020-10-10,0.04828323380750616,49.13371767,8170.641756156384,0.79,0.02298426178772649
2020-10-11,0.01066888057151827,49.66072573,8218.271518101314,0.79,0.005829378323806912
2020-10-12,0.050609056633043305,52.23869222,8326.301978863046,0.79,0.013145155952050026
2020-10-13,-0.02156319982842026,51.12431679,8241.265076859192,0.74,-0.01021304562574441
2020-10-14,0.0037524361469963453,51.31651791,8272.339124750355,0.73,0.0037705434300877435
2020-10-15,-0.15338717208241798,44.01918294,8344.048085357525,0.74,0.00866852283565364
2020-10-16,-0.10843005705280169,39.49584426,8229.807443426935,0.76,-0.013691273200002763
2020-10-17,0.04628784058948889,41.36699325,8250.70669168423,0.76,0.0025394577456350803
2020-10-18,-0.0151017765208125,40.74697166,8330.519894627381,0.76,0.009673499001436254
2020-10-19,-0.12352049217487991,36.01231739,8563.778603545485,0.78,0.02800049839248801
2020-10-20,-0.11251534489984368,32.18001748,8797.544048716432,0.81,0.027296997738144074
2020-10-21,0.08857352793868783,35.16035652,9519.826894926617,0.83,0.08210050921149589
2020-10-22,0.07849950982615306,38.03165056,9549.812686893609,0.87,0.00314982533799773
2020-10-23,0.09176190792478472,41.68663736,9529.809582139214,0.85,-0.0020946070263605393
2020-10-24,-0.055019287329796156,39.45502214,9663.237141390515,0.85,0.014001072959670733
2020-10-25,-0.04008462467085707,37.90476078,9630.8654652677,0.85,-0.003349982583388923
2020-10-26,-0.05061594837637482,36.03392191,9723.419528384115,0.81,0.00961015014177049
2020-10-27,-0.03279000928619749,34.87153083,10217.354611876695,0.79,0.050798495534488716
2020-10-28,-0.07369498059080756,32.39408292,9958.00894053843,0.79,-0.025382858987472275
2020-10-29,-0.10729485782744094,29.09833402,10145.51850302014,0.85,0.01883002552029953
2020-10-30,0.07030825742551594,31.21782294,10278.914469844232,0.88,0.013148265096986774
2020-10-31,-0.049589043118206215,29.70751775,10476.858516668626,0.88,0.01925729097222398
2020-11-01,0.03146990144745992,30.65727643,10391.508591576843,0.88,-0.008146518821075205
2020-11-02,-0.030662155199604052,29.73152358,10304.421007311947,0.87,-0.008380648824703671
2020-11-03,-0.05847585392643521,28.04280321,10668.501409493821,0.90,0.03533244632799125
2020-11-04,-0.01175520228929042,27.71508436,10797.885770057239,0.78,0.012127697752214686
2020-11-05,0.11057795493164682,30.95562668,12070.863789973291,0.79,0.11789141384010995
2020-11-06,0.21699741470712036,38.45744081,11836.877135751092,0.83,-0.01938441674874675
2020-11-07,0.14829151359787904,44.60489962,11270.289183280163,0.83,-0.04786633720811844
2020-11-08,0.18648840239350803,53.74937894,11768.773370380386,0.83,0.04422993758134796
2020-11-09,0.020935297742019344,54.88649964,11682.23463092582,0.96,-0.0073532505666535596
2020-11-10,0.19944179096614928,67.00111098,11605.88438574334,0.98,-0.006535585664437906
2020-11-11,-0.20285195086963553,54.69964668,11944.678380587076,0.98,0.029191570722513
2020-11-12,-0.05770751836878571,51.63241804,12501.877695169795,0.88,0.04664833131784433
2020-11-13,0.20529948725857428,63.39907168,12439.176385562807,0.89,-0.00501535138447346
2020-11-14,0.05548385992101537,67.01611273,12261.616499820362,0.89,-0.014274247766799482
2020-11-15,-0.042349111416540096,64.23729542,12216.374844695232,0.89,-0.003689697449418086
2020-11-16,0.11083234250573834,71.76639355,12827.53131691985,0.91,0.050027645680011494
2020-11-17,0.08895956671505766,78.44328478,13560.847284254107,0.87,0.057167349602724654
2020-11-18,-0.0417955617071184,75.23227405,13741.953445665176,0.88,0.013355077128650885
2020-11-19,0.00827209301701244,75.85718351,13755.830494549191,0.86,0.001009830875856447
2020-11-20,-0.010492678264749292,75.06539972,14296.460595105333,0.83,0.03930188735390196
2020-11-21,-0.06382211048554978,70.42424685,13908.557224291271,0.83,-0.027132825515349412
2020-11-22,-0.02880259877221397,68.42477869,13685.366409187225,0.83,-0.016047014187369753
2020-11-23,0.04868708864210218,71.83861244,13219.816952431314,0.86,-0.034018048390971785
2020-11-24,-0.07363743366485857,66.73867871,13740.551047707224,0.88,0.039390416459596976
2020-11-25,-0.07679492404570751,61.80533895,13624.902533299954,0.88,-0.008416584895739512
2020-11-26,0.03479102161728256,63.99345248,12586.35486866389,0.88,-0.0762242270796287
2020-11-27,-0.052199410043236256,60.73871861,12492.355797602828,0.84,-0.007468331541730982
2020-11-28,0.05147774074258315,63.94728703,12859.063995695542,0.84,0.029354607252147124
2020-11-29,0.07391650056641982,68.85312443,13171.611003817297,0.84,0.024305579957170892
2020-11-30,0.10426275477660892,76.41953515,14253.857358648289,0.84,0.08216507111524497
2020-12-01,-0.02050692662651273,74.86836458,13708.537842121726,0.92,-0.03825768020582155
2020-12-02,0.14236753621631584,86.32324982,13978.369410758201,0.95,0.019683468196540498
2020-12-03,0.06015777838948207,91.67564477,14133.467526415532,0.92,0.011095579970719777
2020-12-04,-0.11591512013561696,81.6418197,13769.259591141275,0.97,-0.025769184709523683
2020-12-05,0.11858353250787414,91.92059987,14019.41798793933,0.97,0.01816789022984209
2020-12-06,-0.044083621193584555,87.95642649,14133.697776698935,0.97,0.008151535881012844
