Date,Tron Return,Tron Price,Famala Index,US Treasury Yield,Famala Index Return
2017-12-06,0.38196467618353563,0.003054830012843,10660.384828875853,2.33,0.2660417379756858
2017-12-07,0.33595725673729593,0.0042745601385831,14117.934464240043,2.37,0.32433628718530905
2017-12-08,0.02765667021165432,0.0043944302015006,12474.501653847665,2.38,-0.116407454260048
2017-12-09,0.017784080683343327,0.0044732801616191,11182.834476943299,2.38,-0.10354459141908576
2017-12-10,-0.014762149267930326,0.0044077299535274,11650.976436207226,2.38,0.04186254926952009
2017-12-11,0.1808559938494677,0.005281529854983,12583.766296795886,2.39,0.08006108893069858
2017-12-12,0.3656730108646023,0.0076132398098707,12242.032625730213,2.40,-0.027156708334029212
2017-12-13,0.7710443594362565,0.0164599996060132,11138.319854660731,2.36,-0.09015764005968313
2017-12-14,0.07206629123713898,0.0176899991929531,10807.873243111764,2.35,-0.029667545541951224
2017-12-15,0.04117565978030666,0.0184336006641387,11934.429584517406,2.35,0.10423478477818336
2017-12-16,0.6768323682489775,0.0362705998122692,13295.983604662611,2.35,0.11408622511054543
2017-12-17,-0.0022191101329470907,0.0361902005970478,12801.42905520413,2.35,-0.037195785145602366
2017-12-18,0.20869208183314514,0.0445886999368667,12406.180040901918,2.39,-0.030875382162238518
2017-12-19,0.04942362226301837,0.0468478016555309,11054.93629592897,2.46,-0.1089169865758867
2017-12-20,0.04252557308119073,0.0488829985260963,10177.195647905137,2.49,-0.07939807381314945
2017-12-21,-0.0614602519485738,0.0459690988063812,9180.44893245817,2.48,-0.09793923099553815
2017-12-22,-0.1625121222440308,0.0390739999711513,8141.173086945104,2.48,-0.1132053403008025
2017-12-23,0.2817610691110446,0.051791101694107,8646.90783452,2.48,0.06212062342537268
2017-12-24,-0.3579216982272265,0.0362085998058319,8207.787778379168,2.48,-0.05078347827275153
2017-12-25,-0.02889286677275602,0.0351773984730243,8084.352372736146,2.48,-0.015038815448929335
2017-12-26,0.07273830594996948,0.037831500172615,9668.186813002365,2.47,0.19591358308521756
2017-12-27,-0.02680223993962446,0.0368309989571571,9317.869951260931,2.42,-0.036233977323473575
2017-12-28,0.13069864761504543,0.0419735014438629,8389.119273660137,2.43,-0.09967414038388804
2017-12-29,-0.14388834836841607,0.0363483987748622,7761.945348418194,2.40,-0.07476040151331757
2017-12-30,0.0017647275427473876,0.0364126004278659,6583.054815222797,2.40,-0.15188080826099135
2017-12-31,0.2062123052159419,0.0447515994310379,7260.6673954483895,2.40,0.10293284793234093
2018-01-01,0.14422617607972912,0.0516946017742157,6760.03713830496,2.40,-0.06895099718481361
2018-01-02,0.420057237288171,0.0786816999316215,7446.783076964166,2.46,0.1015890777829963
2018-01-03,0.18533299532125067,0.0947028025984764,6930.043044615459,2.44,-0.06939104134068143
2018-01-04,0.7866694861290008,0.2079740017652511,7094.142404143028,2.46,0.023679414178397102
