Date,Solana Return,Solana Price,Famala Index,US Treasury Yield,Famala Index Return
2020-04-12,0.12755980033110537,0.882506928259,5380.264291775766,0.73,0.01655426340342084
2020-04-13,-0.1262566361373464,0.777831565037,5290.40572216748,0.76,-0.016701515898697148
2020-04-14,-0.1613580117299034,0.661924824696,5287.603811627634,0.76,-0.0005296211079059231
2020-04-15,-0.023345406903217864,0.646650901989,5130.324042324443,0.63,-0.029744998851337304
2020-04-16,0.06606674252446847,0.690815875441,5473.310679019933,0.61,0.06685477054975443
2020-04-17,-0.044531113982934474,0.660727970818,5456.32530371954,0.65,-0.0031033091846038078
2020-04-18,0.03036154331787309,0.681096334559,5536.08169794122,0.65,0.01461723592017339
2020-04-19,-0.11522574881723437,0.606969175324,5507.242754260681,0.65,-0.005209269886906456
2020-04-20,-0.1191110512753291,0.538812129578,5273.333280177429,0.63,-0.04247306402142675
2020-04-21,0.08678015623323311,0.587659155744,5267.143825760051,0.58,-0.001173727145341583
2020-04-22,0.1628619653794365,0.691600915883,5438.521093306351,0.63,0.032537039658599005
2020-04-23,-0.09733364880186625,0.627457179792,5703.6539335571415,0.61,0.04875090777474636
2020-04-24,0.010755503574152265,0.634242220589,5787.834650895875,0.60,0.014759085722831215
2020-04-25,0.01422579315241873,0.643329301446,5781.269520275549,0.60,-0.0011342982335041608
2020-04-26,-0.012234653423933532,0.635506343577,5871.271446629184,0.60,0.015567848210153067
2020-04-27,-0.10463312629923154,0.572371895062,5974.387377141294,0.67,0.017562793927933782
2020-04-28,0.14440732995768596,0.661292515173,5948.158916511004,0.62,-0.004390150650532516
2020-04-29,0.12031537319938526,0.74584040982,6772.487065551116,0.63,0.1385854279635885
2020-04-30,-0.07630609556153083,0.691045421015,6716.859498197571,0.64,-0.00821375763661469
2020-05-01,0.05318551737669475,0.728793969447,6865.352733678817,0.64,0.022107539322668974
2020-05-02,-0.01788352832343202,0.715876411879,6960.728621604209,0.64,0.01389235071018491
2020-05-03,-0.05209943335648814,0.679534571126,6910.123173425962,0.64,-0.007270136637877537
2020-05-04,-0.017882546487303974,0.667490770432,6936.356507665477,0.64,0.0037963627537638805
2020-05-05,-0.03919062017736134,0.641837362998,7034.92978235145,0.66,0.0142111026988071
2020-05-06,-0.03045702824095593,0.622583598868,7305.190491026156,0.72,0.038416973166201386
2020-05-07,-0.01554893818242044,0.612977957268,7906.923616568444,0.63,0.08237062760806428
2020-05-08,-0.013229252224402941,0.604922121097,7791.91777535137,0.69,-0.014544954117943739
2020-05-09,-0.0006527429925451094,0.604527391264,7566.603299351785,0.69,-0.02891643398911834
2020-05-10,-0.11838573864762625,0.53703391162,6923.795701526345,0.69,-0.08495325741214795
2020-05-11,-0.041364802032044914,0.515272785293,6799.19472968891,0.73,-0.017996049740457563
2020-05-12,0.0442315295610341,0.538575650335,6960.428922002935,0.69,0.023713718862910384
2020-05-13,0.02195649090173085,0.550531657365,7351.717391261176,0.64,0.05621614323527117
2020-05-14,0.03320264785325674,0.569117610116,7773.185796117204,0.63,0.05732924464112531
2020-05-15,-0.01659323665484236,0.559752024505,7428.354865343167,0.64,-0.04436159636712704
2020-05-16,0.06796849588232332,0.599120273328,7448.590232980073,0.64,0.0027240712114217107
2020-05-17,0.02288430853115546,0.612988807183,7700.5219718848675,0.64,0.033822741085865915
2020-05-18,0.06272522498557309,0.652670169702,7707.808290192141,0.73,0.000946210962565398
2020-05-19,-0.04419380919798387,0.624454265112,7712.985169362826,0.70,0.0006716408836053673
2020-05-20,-0.07530679573885833,0.579155667218,7534.203391250885,0.68,-0.023179323463772505
2020-05-21,0.05010792036031864,0.608915324064,7182.7990158422135,0.68,-0.04664121170616934
2020-05-22,0.04802971041679891,0.638875070548,7225.026238429232,0.66,0.005878936956732739
2020-05-23,-0.04129275227206795,0.613031410499,7248.7860410011035,0.66,0.0032885420464628234
2020-05-24,-0.11022104390043315,0.549053085284,6894.2670305339225,0.66,-0.0489073630345723
2020-05-25,0.09016229651889089,0.600857275438,6981.598417702633,0.66,0.012667247552485243
2020-05-26,-0.0469366705477792,0.573306660293,6934.948727137621,0.69,-0.006681806625646984
2020-05-27,0.030369247855208496,0.590984626967,7221.697302262089,0.68,0.041348333838774065
2020-05-28,-0.027149629818289063,0.57515546338,7487.948612570995,0.70,0.03686824567203982
2020-05-29,0.007379303044477356,0.579415408223,7408.263494166112,0.65,-0.010641782219379154
2020-05-30,0.014592973854278367,0.587932797998,7533.142964846577,0.65,0.01685678037488896
2020-05-31,-0.030937660491984043,0.570022020054,7364.379523858868,0.65,-0.022402792801788574
2020-06-01,0.01302506395706518,0.577495156711,7934.236297601477,0.66,0.07738014749191109
2020-06-02,-0.02245956984243027,0.56466943316,7388.655009636187,0.68,-0.0687629240548608
2020-06-03,0.03813782461488958,0.586620621665,7462.835378737976,0.77,0.010039766236892027
2020-06-04,0.001156589539501374,0.587299493452,7588.446970186532,0.82,0.016831617619012546
2020-06-05,0.11845286459716309,0.66115464236,7476.507314191055,0.91,-0.014751326119199994
2020-06-06,-0.06033619635375253,0.622442695244,7463.41286284715,0.91,-0.0017514128982460768
2020-06-07,-0.00946696916532699,0.616577854377,7547.079015593134,0.91,0.011210173453283498
2020-06-08,0.08057212588558284,0.668313065708,7552.741129772111,0.88,0.000750239154417068
2020-06-09,-0.015547997006545066,0.658002498205,7583.030631380219,0.84,0.004010398488134372
2020-06-10,-0.0201651628030749,0.644866658992,7642.174377043253,0.75,0.007799486582354576
2020-06-11,-0.11686445188380964,0.573741595726,7245.020993224081,0.66,-0.051968636702690606
