Date,Iota Return,Iota Price,Famala Index,US Treasury Yield,Famala Index Return
2017-06-15,-0.3746075407871305,0.363660991191864,1248.7885441380756,2.16,-0.009363887036949804
2017-06-16,0.12177972067583505,0.4107570052146911,1273.2637100394397,2.16,0.019599127503413378
2017-06-17,0.022029042288326195,0.4199059903621673,1346.7015269325368,2.16,0.05767683184092502
2017-06-18,-0.03401764462449177,0.4058620035648346,1272.784249985026,2.16,-0.05488764620017669
2017-06-19,0.015454184183575845,0.4121829867362976,1292.3408940138177,2.19,0.015365246725061009
2017-06-20,0.015195126454729235,0.4184939861297607,1375.0330096666494,2.16,0.06398630271305768
2017-06-21,-0.011891325597961239,0.41354700922966,1383.9895464514263,2.16,0.006513688560064688
2017-06-22,0.010092856263661524,0.4177420139312744,1395.7261927094298,2.15,0.008480299788460429
2017-06-23,0.14081609860311187,0.4809100031852722,1401.5554579403824,2.15,0.0041765105945576995
2017-06-24,0.06442025858491424,0.512910008430481,1327.2077009678862,2.15,-0.05304660372251835
2017-06-25,-0.0853675716870268,0.4709410071372986,1340.383025201259,2.15,0.009927100501123106
2017-06-26,-0.15719175156513787,0.4024380147457123,1306.3656451296495,2.14,-0.025378850248048913
2017-06-27,-0.025593292370902687,0.3922689855098724,1344.3526689391645,2.21,0.029078400791644362
2017-06-28,-0.03405282250928301,0.3791359961032867,1327.6118642132221,2.22,-0.012452688280934928
2017-06-29,0.09710312255113941,0.4177980124950409,1331.46249520596,2.27,0.002900419238886449
2017-06-30,-0.03956392694694953,0.4015910029411316,1299.7708340101494,2.31,-0.0238021433648481
2017-07-01,-0.030236620252697462,0.389629989862442,1292.3642103632221,2.31,-0.005698407329294992
2017-07-02,-0.01912532216968253,0.3822489976882934,1326.3801178961764,2.31,0.02632068209579563
2017-07-03,-0.01611350620477048,0.3761389851570129,1355.4211670981313,2.35,0.0218949672195162
2017-07-04,0.05243983603845654,0.3963899910449981,1386.5019696225902,2.35,0.022930734209353477
2017-07-05,-0.0418852715389416,0.3801299929618835,1394.6614913369367,2.33,0.005884969436118115
2017-07-06,-0.0715554417116874,0.3538799881935119,1400.6996630608937,2.37,0.0043294890993001945
2017-07-07,-0.2179961347136685,0.2845650017261505,1380.641539528807,2.39,-0.014320074503519537
2017-07-08,0.07103714417329388,0.3055149912834167,1409.7554431106964,2.39,0.021087228471936004
2017-07-09,-0.008632481789828854,0.3028889894485473,1385.8926469651126,2.39,-0.016926904777845284
2017-07-10,-0.3331879557291381,0.2170609980821609,1339.5862704326348,2.38,-0.033412672066542436
2017-07-11,-0.14588773262915528,0.1875959932804107,1354.4767256637374,2.37,0.01111571203719006
2017-07-12,0.19837402951688282,0.2287580072879791,1336.2791356711446,2.33,-0.013435144102365754
2017-07-13,-0.06394013852571873,0.2145889997482299,1338.7944937599857,2.35,0.0018823597717686465
2017-07-14,-0.20194061866650537,0.1753499954938888,1269.2762454807637,2.33,-0.05192600403067164
2017-07-15,-0.09984397912214367,0.1586879938840866,1143.8375271377602,2.33,-0.09882696441348046
2017-07-16,0.13143550605720117,0.1809780001640319,1124.372059643211,2.33,-0.017017685670147404
2017-07-17,0.3741777333252776,0.2631050050258636,1274.9038977835105,2.31,0.13388080649039485
2017-07-18,0.015968062018100467,0.2673400044441223,1286.9084266272469,2.27,0.009416026466470826
2017-07-19,-0.1408704953099333,0.2322120070457458,1313.4678936015405,2.27,0.02063819493660568
2017-07-20,0.23067710870728161,0.2924599945545196,1679.367182028933,2.27,0.2785749771348377
2017-07-21,-0.10187137500860112,0.2641339898109436,1577.767000552347,2.24,-0.060499087134617775
2017-07-22,0.03441360250635102,0.2733820080757141,1657.4845332432776,2.24,0.05052554189751901
2017-07-23,-0.015891126359510975,0.2690719962120056,1603.324456502788,2.24,-0.03267606765205344
2017-07-24,-0.009803609437015299,0.2664470076560974,1624.7553942602738,2.26,0.01336656324960664
2017-07-25,-0.06190411885951491,0.2504529953002929,1526.489878436755,2.33,-0.06048019053862421
2017-07-26,0.09203695944333783,0.2745980024337768,1492.7315602081871,2.29,-0.022114996440814216
2017-07-27,0.003159650675580226,0.2754670083522796,1603.7519701556039,2.32,0.07437399523591036
2017-07-28,-0.038292848722142836,0.2651180028915405,1745.150443626587,2.30,0.08816729525655016
2017-07-29,0.03728673200015545,0.275189995765686,1651.385039020869,2.30,-0.05372912401229126
2017-07-30,-0.07704169552371268,0.2547850012779236,1698.7128554359576,2.30,0.028659467838675567
2017-07-31,-0.0002079951324005997,0.2547320127487182,1781.3380604507274,2.30,0.04863988916688622
2017-08-01,0.13042716772652765,0.2902199923992157,1603.590781252809,2.26,-0.09978301319904631
2017-08-02,-0.014241892932944918,0.2861160039901733,1603.9935170067354,2.27,0.00025114621425535857
2017-08-03,0.14979734857896404,0.3323520123958587,1665.787400289842,2.24,0.0385250205988502
2017-08-04,0.16324402835665844,0.3912859857082367,1738.475452809844,2.27,0.04363585203451201
2017-08-05,0.041779427493532036,0.4079799950122833,1962.202100169228,2.27,0.1286912892544911
2017-08-06,0.05521936626653966,0.4311420023441314,1925.223461352204,2.27,-0.018845479175582863
2017-08-07,0.09598639372142401,0.4745770096778869,2038.461232165229,2.26,0.058817988190052024
2017-08-08,0.14318873137360824,0.5476369857788086,2014.4557739827815,2.29,-0.011776264274081459
2017-08-09,-0.007899467166837692,0.5433279871940613,1961.920769904982,2.24,-0.026079005931181305
2017-08-10,0.04168627707708087,0.5664560198783875,1993.149500357614,2.20,0.015917426907175434
2017-08-11,0.14504035438177007,0.6548720002174377,2186.04001979234,2.19,0.09677674424327792
