Date,Ethereum Return,Ethereum Price,Famala Index,US Treasury Yield,Famala Index Return
2016-01-04,-0.018091374320664527,0.954479992389679,404.8332710324199,2.24,0.008009340870207424
2016-01-05,-0.004519450374601695,0.9501760005950928,403.69027778603567,2.25,-0.002823367860722778
2016-01-06,0.0007196317421581544,0.9508600234985352,400.9915518070447,2.18,-0.006685139889401449
2016-01-07,-0.00935630320117249,0.9420049786567688,429.3326294521574,2.16,0.0706774931227237
2016-01-08,0.04644566564439589,0.9867889881134032,424.5268095609113,2.13,-0.011193698222700797
2016-01-09,4.45761433991368e-05,0.9868329763412476,418.71932272147654,2.13,-0.013679905976825033
2016-01-10,0.01248516245989216,0.999230980873108,419.2304258546115,2.13,0.001220634218199019
2016-01-11,0.06054649062220346,1.0615999698638916,419.460335713255,2.17,0.00054840928631273
2016-01-12,0.07212792364951007,1.1410000324249268,406.59885372225426,2.12,-0.030661974198659184
2016-01-13,-0.013944272169282129,1.1252000331878662,403.5310610509675,2.08,-0.00754501062460539
2016-01-14,0.05564786370074866,1.1895899772644043,401.69953064348005,2.10,-0.004538759427136405
2016-01-15,0.015365652247935372,1.208009958267212,337.9721191977938,2.03,-0.15864447574434973
2016-01-16,0.010114147760942395,1.220289945602417,360.9151341394496,2.03,0.06788434204606299
2016-01-17,0.08418634270335655,1.3274699449539185,355.14260809216967,2.03,-0.01599413685171086
2016-01-18,0.07183687794376725,1.4263399839401243,359.3337085040893,2.03,0.011801175968251995
2016-01-19,-0.03928689833860122,1.3713899850845337,352.6749753854005,2.06,-0.0185307778288021
2016-01-20,0.11063179619660564,1.5318200588226318,390.53978373793814,2.01,0.10736460195725332
2016-01-21,0.01409891971018198,1.553570032119751,381.19069839797015,2.02,-0.02393888082408898
2016-01-22,-0.03424407534966392,1.501270055770874,354.5327012017875,2.07,-0.06993349341476111
2016-01-23,0.27307648061522427,1.9726699590682983,357.33776971450504,2.07,0.007912016305432371
2016-01-24,0.08197851586094611,2.141200065612793,371.51689985339243,2.07,0.03967990887225776
2016-01-25,0.15463222397367787,2.499269962310791,358.95910663755035,2.03,-0.03380140505263051
2016-01-26,-0.0934165838810586,2.276370048522949,358.81982291046523,2.01,-0.0003880211548045576
2016-01-27,0.04810441504339048,2.388550043106079,358.15331336856747,2.02,-0.0018575047958375433
2016-01-28,0.056144471721413666,2.5264899730682373,344.6962336986836,2.00,-0.037573517171501015
2016-01-29,-0.012558252107841216,2.494960069656372,343.0837004744268,1.94,-0.00467812835363446
2016-01-30,-0.020203056404396316,2.4450600147247314,342.8854604271068,1.94,-0.0005778183196865724
2016-01-31,-0.05853787970031499,2.306040048599243,334.44499823189375,1.94,-0.02461598163042377
2016-02-01,-0.04177488269468766,2.2116899490356445,338.78088978477086,1.97,0.012964438325583038
2016-02-02,0.0980935998193833,2.439640045166016,338.8175189258203,1.87,0.00010812044644169908
2016-02-03,0.03585091556468525,2.5286900997161865,333.8273498768316,1.88,-0.014728190752383295
2016-02-04,0.019327954010697153,2.5780398845672607,352.5377772379497,1.87,0.05604821584577016
2016-02-05,-0.015263003195430497,2.538990020751953,349.09346078720785,1.86,-0.00977006344604327
2016-02-06,-0.0017857489982975572,2.5344600677490234,338.0831351709169,1.86,-0.031539764713617434
2016-02-07,0.1566737777754177,2.9643399715423584,335.88739902330263,1.86,-0.0064946633510843226
2016-02-08,0.07016076205518967,3.1797900199890137,332.50382793631655,1.75,-0.010073527904961212
2016-02-09,0.24057740050663157,4.044640064239502,331.9639342367293,1.74,-0.0016237217566429261
2016-02-10,0.0924191658187586,4.436260223388672,335.8631495558996,1.71,0.011745900433839631
2016-02-11,0.30412871755321724,6.0131001472473145,328.16872331026883,1.63,-0.022909408953631433
2016-02-12,-0.08068682880167989,5.546979904174805,333.7817766924488,1.74,0.017104169238191084
2016-02-13,-0.029576850416680445,5.38532018661499,341.30979528095,1.74,0.022553713576273747
2016-02-14,-0.027406820190710845,5.239729881286621,356.1537161233332,1.74,0.04349104844812426
2016-02-15,0.009236360231160637,5.2883501052856445,349.08953747626884,1.74,-0.019834634112361988
2016-02-16,-0.20334178414535972,4.315289974212647,360.0945769447963,1.78,0.031524976509144396
2016-02-17,-0.1384798632413208,3.757240056991577,371.8083529454553,1.81,0.03252972066406527
2016-02-18,0.15772210351755694,4.399129867553711,375.4393289064173,1.75,0.009765719172787618
2016-02-19,0.07418507568374487,4.737889766693115,371.99130533671183,1.76,-0.009183970096443813
2016-02-20,-0.08741107505393908,4.341330051422119,389.22687480093805,1.76,0.04633325891481593
2016-02-21,0.06946459649699997,4.653619766235352,389.8869438845038,1.76,0.0016958466290472294
2016-02-22,0.18806331532012657,5.616499900817871,385.2426047963763,1.77,-0.011912014908360904
2016-02-23,-0.00540765609277761,5.586209774017334,369.00027605024576,1.74,-0.04216129925379257
2016-02-24,0.11011333250689492,6.2364702224731445,370.54811970567073,1.75,0.004194695115117486
2016-02-25,-0.0213389691189867,6.104800224304199,370.7848499664991,1.71,0.0006388650980510102
2016-02-26,-0.030456886777384704,5.921669960021973,378.83649134137,1.76,0.021715130420237934
2016-02-27,0.08171196582147039,6.425859928131104,377.4630624048208,1.76,-0.003625387120671025
2016-02-28,0.006590579763684669,6.468349933624268,378.33099333696583,1.76,0.0022993797767003926
2016-02-29,-0.020517169235229175,6.336989879608154,382.91104454294145,1.74,0.012105937093809109
2016-03-01,0.18878399305445082,7.653689861297607,375.46195566443424,1.83,-0.01945383656248086
2016-03-02,0.10079824448422574,8.4653902053833,361.81692785194645,1.84,-0.036341971820662754
