Date,Uniswap Return,Uniswap Price,Famala Index,US Treasury Yield,Famala Index Return
2020-09-19,-0.18637481832387798,5.72446418076,7950.830165475538,0.70,0.01792298638759859
2020-09-20,-0.08762710829666351,5.24419548938,7882.884787357856,0.70,-0.008545696072432442
2020-09-21,-0.20642680866605212,4.26607855983,7614.033867275891,0.68,-0.03410565133631458
2020-09-22,-0.08840194772155813,3.90513786535,7664.069864425604,0.68,0.0065715490660950265
2020-09-23,0.1752760147586598,4.6532649,7514.459076269336,0.68,-0.01952106267333464
2020-09-24,0.09895194076489208,5.13726606,7830.873698402025,0.67,0.04210743832938376
2020-09-25,-0.024496179629982413,5.0129515,7717.119654198224,0.66,-0.014526354093415334
2020-09-26,-0.04218451830896862,4.80588085,7764.287531403967,0.66,0.006112109092423118
2020-09-27,-0.0052117555885644205,4.78089893,7772.054653423841,0.66,0.0010003650674268625
2020-09-28,-0.13241028216912035,4.18797912,7728.010604255597,0.67,-0.005666976254321764
2020-09-29,0.053328427932691234,4.41737989,7827.237225085629,0.66,0.012839866029090373
2020-09-30,-0.09600396343894338,4.01301477,7777.835074973677,0.69,-0.006311569292115196
2020-10-01,0.059694662609649576,4.25986485,7662.508184353954,0.68,-0.014827633847727725
2020-10-02,-0.11795424676456327,3.78589829,7671.409627462561,0.70,0.001161687908768943
2020-10-03,0.001508627312593979,3.79161411,7643.493974820995,0.70,-0.0036389208759797344
2020-10-04,-0.03289308409098735,3.6689251,7703.8032205376385,0.70,0.00789027189859929
2020-10-05,-0.07049058108052594,3.41920528,7798.871813846747,0.78,0.01234047529351008
2020-10-06,-0.1876338639584143,2.83424131,7704.844057276186,0.76,-0.01205658444130554
2020-10-07,-0.012132183205882798,2.80006352,7749.252253519435,0.81,0.005763672296691284
2020-10-08,0.15524132133054647,3.27030556,7922.494036982404,0.78,0.02235593548839365
2020-10-09,-0.0543310637365121,3.09736689,7987.064964105798,0.79,0.008150328270614644
2020-10-10,0.07287843623404881,3.33152713,8170.641756156384,0.79,0.02298426178772649
2020-10-11,0.01658473735539563,3.38724035,8218.271518101314,0.79,0.005829378323806912
2020-10-12,-0.038208169877433786,3.26026136,8326.301978863046,0.79,0.013145155952050026
2020-10-13,0.07017411641172709,3.49726586,8241.265076859192,0.74,-0.01021304562574441
2020-10-14,-0.12639512830202554,3.08202347,8272.339124750355,0.73,0.0037705434300877435
2020-10-15,-0.05848236393153683,2.90694874,8344.048085357525,0.74,0.00866852283565364
2020-10-16,0.04309970654046882,3.03497654,8229.807443426935,0.76,-0.013691273200002763
2020-10-17,-0.01136389854314548,3.0006826,8250.70669168423,0.76,0.0025394577456350803
2020-10-18,0.08498913997403006,3.26685888,8330.519894627381,0.76,0.009673499001436254
2020-10-19,-0.027682531207646664,3.17766422,8563.778603545485,0.78,0.02800049839248801
2020-10-20,-0.10190398380891973,2.86980023,8797.544048716432,0.81,0.027296997738144074
2020-10-21,0.02463434364332616,2.94137384,9519.826894926617,0.83,0.08210050921149589
2020-10-22,0.032799974490225446,3.03945049,9549.812686893609,0.87,0.00314982533799773
2020-10-23,-0.009009333654036843,3.01219005,9529.809582139214,0.85,-0.0020946070263605393
2020-10-24,-0.023150614260015474,2.943257,9663.237141390515,0.85,0.014001072959670733
2020-10-25,-0.0585969343655518,2.77574688,9630.8654652677,0.85,-0.003349982583388923
2020-10-26,-0.018120261639418364,2.72590258,9723.419528384115,0.81,0.00961015014177049
2020-10-27,0.03478747779138474,2.82239855,10217.354611876695,0.79,0.050798495534488716
2020-10-28,-0.05322057226527235,2.67611603,9958.00894053843,0.79,-0.025382858987472275
2020-10-29,-0.05156628751669381,2.54161629,10145.51850302014,0.85,0.01883002552029953
2020-10-30,-0.05144568541212531,2.41416755,10278.914469844232,0.88,0.013148265096986774
2020-10-31,-0.06314956139543908,2.26642787,10476.858516668626,0.88,0.01925729097222398
2020-11-01,0.048603655071692536,2.37930546,10391.508591576843,0.88,-0.008146518821075205
2020-11-02,-0.053986910908451625,2.25425989,10304.421007311947,0.87,-0.008380648824703671
2020-11-03,-0.0546742062315272,2.13431874,10668.501409493821,0.90,0.03533244632799125
2020-11-04,-0.10056605780027492,1.93011859,10797.885770057239,0.78,0.012127697752214686
2020-11-05,0.13365810802680672,2.20612935,12070.863789973291,0.79,0.11789141384010995
2020-11-06,0.14516567744979098,2.5507954,11836.877135751092,0.83,-0.01938441674874675
2020-11-07,-0.033606493208357895,2.46649654,11270.289183280163,0.83,-0.04786633720811844
2020-11-08,0.14403489902453648,2.84861707,11768.773370380386,0.83,0.04422993758134796
2020-11-09,-0.0621880439079712,2.67686302,11682.23463092582,0.96,-0.0073532505666535596
2020-11-10,0.11647817824158768,3.00754392,11605.88438574334,0.98,-0.006535585664437906
2020-11-11,-0.03215483153199431,2.91237512,11944.678380587076,0.98,0.029191570722513
2020-11-12,0.0060818053741353295,2.93014159,12501.877695169795,0.88,0.04664833131784433
2020-11-13,0.28069659440789146,3.8796593,12439.176385562807,0.89,-0.00501535138447346
2020-11-14,-0.01835255941160959,3.80910701,12261.616499820362,0.89,-0.014274247766799482
2020-11-15,0.01379232419902397,3.86200742,12216.374844695232,0.89,-0.003689697449418086
2020-11-16,-0.06913954690192493,3.6040116,12827.53131691985,0.91,0.050027645680011494
2020-11-17,0.053869112736030705,3.80348089,13560.847284254107,0.87,0.057167349602724654
2020-11-18,-0.0935893825577877,3.46366504,13741.953445665176,0.88,0.013355077128650885
2020-11-19,0.07490101088949967,3.7330601,13755.830494549191,0.86,0.001009830875856447
