Date,Cardano Return,Cardano Price,Famala Index,US Treasury Yield,Famala Index Return
2017-10-03,-0.2197576507003996,0.0208158008754253,2732.4697140004037,2.33,-0.022463963032442434
2017-10-04,0.05221156923103526,0.0219314992427825,2650.5516774737225,2.33,-0.029979485630510828
2017-10-05,-0.02039670655809568,0.0214887000620365,2708.5806166677485,2.35,0.021893155182446448
2017-10-06,-0.1476451554307377,0.0185391008853912,2725.719884955726,2.37,0.0063277674596457145
2017-10-07,0.12182211421958702,0.0209408998489379,2757.9797777808863,2.37,0.011835366136929539
2017-10-08,-0.02239210873958464,0.0204771999269723,2886.7156505362213,2.37,0.04667759850614931
2017-10-09,0.07688523330491273,0.02211369946599,3077.043999459813,2.37,0.06593248936321022
2017-10-10,-0.026689582635534875,0.0215313006192445,3066.943123718121,2.35,-0.0032826556082608356
2017-10-11,0.044873922486797654,0.0225195009261369,3090.827020108138,2.35,0.007787525045805907
2017-10-12,0.15336435347423127,0.0262521002441644,3633.7040583640496,2.33,0.1756413525325393
2017-10-13,0.2479995466287299,0.0336409993469715,3715.7982022633564,2.28,0.022592413300786766
2017-10-14,-0.035586063074415204,0.0324648991227149,3869.0978167458225,2.28,0.04125617327364242
2017-10-15,-0.07734342556379738,0.0300485994666814,3738.6139947852535,2.28,-0.033724611819278036
2017-10-16,-0.037307997273354744,0.02894820086658,3783.1093887248157,2.30,0.01190157475514348
2017-10-17,-0.0616479103236343,0.0272174999117851,3742.9291619667442,2.30,-0.010620952933009211
2017-10-18,-0.019544986876176344,0.026690699160099,3754.2177919022733,2.34,0.0030159881331009316
2017-10-19,0.012702504791170919,0.0270319003611803,3880.060339294592,2.33,0.03352031085243823
2017-10-20,0.12495574848304541,0.030629800632596,4165.340505760344,2.39,0.07352467269042964
2017-10-21,-0.07431040617047772,0.0284362006932497,4193.723909771781,2.39,0.0068141857723720296
2017-10-22,-0.025191431218071828,0.0277287997305393,4197.005957143234,2.39,0.0007826093090690362
2017-10-23,-0.08561442033189141,0.0254535991698503,4163.770196584637,2.38,-0.00791892146400935
2017-10-24,0.06609142477876938,0.0271927006542682,3752.5058474706234,2.42,-0.0987721054950046
2017-10-25,0.012236923981791492,0.0275274999439716,3955.6173875611053,2.44,0.054126908350426474
2017-10-26,-0.014479045713889182,0.027131799608469,4102.94512641548,2.46,0.03724519447145324
2017-10-27,-0.02803208063467846,0.0263817999511957,3992.5710787246344,2.42,-0.026901175689686557
