Date,CryptocomCoin Return,CryptocomCoin Price,Famala Index,US Treasury Yield,Famala Index Return
2018-12-16,-0.1195307664905428,0.0153006720049,2148.9312825309744,2.89,0.0022162580106187234
2018-12-17,-0.057337684041246784,0.0144480443353,2309.7163802349023,2.86,0.07482095821815112
2018-12-18,0.11812671497890909,0.0162596370181,2390.77213958053,2.82,0.035093382044328894
2018-12-19,0.2457974687142965,0.0207902317496,2434.6676006623857,2.77,0.018360370005632207
2018-12-20,0.4451202555571268,0.0324468544943,2682.286015809196,2.79,0.1017052245979872
2018-12-21,0.011308591661176573,0.0328158652861,2516.688744727367,2.79,-0.061737365107900885
2018-12-22,0.0568998307194406,0.034737226681,2592.8021021202485,2.79,0.030243452851427915
2018-12-23,-0.13332611437765796,0.0304013134337,2529.7345181254227,2.79,-0.02432410246167752
2018-12-24,-0.02651816107570067,0.0296057219408,2541.5086284490153,2.74,0.004654286937712901
2018-12-25,-0.20868822029590764,0.0240294324521,2383.7461325019735,2.74,-0.062074349927868686
2018-12-26,-0.013352834394802306,0.023710704119,2416.02736007454,2.81,0.01354222546286174
2018-12-27,-0.15470993610150277,0.0203120978282,2333.5389533114926,2.77,-0.03414216582402543
2018-12-28,-0.043073689747860786,0.0194557561232,2457.025180068068,2.72,0.05291800532463272
2018-12-29,0.025393384886438095,0.0199561298303,2382.959143353136,2.72,-0.030144598157060908
2018-12-30,0.03334535613118807,0.0206327931786,2412.9570986578715,2.72,0.01258853110780763
2018-12-31,-0.012387515043765649,0.0203787806827,2347.737989833231,2.69,-0.027028706337512774
2019-01-01,0.05199473472228791,0.0214664002063,2398.177501697483,2.69,0.021484301946246925
2019-01-02,-0.001176512528048907,0.0214411595684,2431.712196478418,2.66,0.013983408132716717
2019-01-03,-0.0007932654389384106,0.0214241577819,2378.056811585225,2.56,-0.022064858238937904
2019-01-04,0.0062800740764065175,0.0215591264428,2382.9636892381095,2.67,0.002063397993260453
2019-01-05,-0.14695472015091088,0.0186127067779,2368.968222057591,2.67,-0.005873134888174986
2019-01-06,-0.05733548555069372,0.0175755551033,2531.095843178591,2.67,0.0684380734242955
2019-01-07,0.2504126262747561,0.0225767733132,2507.8180876382685,2.70,-0.009196710430012838
2019-01-08,-0.14317983152121616,0.0195649914132,2507.5395121522397,2.73,-0.00011108281234670136
2019-01-09,0.0025446447536558044,0.0196148407635,2498.355479505985,2.74,-0.0036625674697233546
2019-01-10,-0.10282900359243852,0.0176981029866,2311.425639444727,2.74,-0.07482115399295407
2019-01-11,-0.005776544765109305,0.017596163814,2324.1301593161706,2.71,0.00549639999428907
2019-01-12,-0.019453908712696845,0.0172571578366,2312.397199761609,2.71,-0.0050483229209562835
2019-01-13,-0.041155542105936936,0.0165613466046,2264.1561896915186,2.71,-0.02086190472599763
2019-01-14,-0.03696693522964094,0.0159603022071,2333.119642795877,2.71,0.03045878787794866
2019-01-15,-0.03651202570563683,0.0153880695005,2297.1949943499535,2.72,-0.015397688051210933
2019-01-16,-0.015368486846673647,0.01515338614,2308.047209512994,2.73,0.0047241157976279455
2019-01-17,0.009820589122569593,0.0153029344434,2325.2555504179604,2.75,0.007455801091953177
2019-01-18,-0.026531710374758568,0.0149022602089,2321.988115039012,2.79,-0.0014051940993587276
2019-01-19,0.0002594770075377865,0.0149061275045,2365.058008206582,2.79,0.018548713875241582
2019-01-20,-0.03772616551011519,0.0143542519983,2285.8480638667115,2.79,-0.0334917554093886
2019-01-21,-0.037236613143164274,0.0138295774446,2267.9563640752167,2.79,-0.007827160551182679
2019-01-22,-0.023920243882094214,0.0135026957108,2284.805825272074,2.74,0.007429358634828823
2019-01-23,-0.013423384470405945,0.0133226549167,2275.694163675262,2.76,-0.003987936959906292
2019-01-24,-0.021530147369880594,0.0130388819912,2286.3729273934405,2.72,0.0046925302567599895
2019-01-25,0.035852155074708576,0.0135148350004,2288.2842912679184,2.76,0.0008359808024218473
2019-01-26,0.01725470376964148,0.013750052947,2291.2715381623166,2.76,0.0013054526947536456
2019-01-27,-0.004219666388746664,0.0136921545526,2291.3694875752576,2.76,4.274893276926623e-05
2019-01-28,-0.10624817957714693,0.0123120053224,2239.4973394145068,2.75,-0.022638054858469068
2019-01-29,0.04765834107348695,0.0129129821031,2228.482454848809,2.72,-0.0049184628942570705
2019-01-30,0.015623571440695717,0.0131163132448,2219.835027036677,2.70,-0.0038804109914874546
2019-01-31,-0.012166788051052504,0.012957696725,2217.413276637036,2.63,-0.0010909596299477748
2019-02-01,-0.02575304034327442,0.0126282568846,2239.4485386065694,2.70,0.009937372614162684
2019-02-02,-0.0024639274053948872,0.0125971800776,2255.7971093020055,2.70,0.00730026629931338
2019-02-03,0.01670641821914082,0.0128094016314,2227.5622101233803,2.70,-0.01251659515928796
2019-02-04,-0.020010016987961204,0.0125556327147,2221.537435190416,2.73,-0.002704649461902342
2019-02-05,-0.010382364902619758,0.0124259499262,2232.1242386768586,2.71,0.004765530086840533
2019-02-06,-0.014292667797528014,0.0122496131154,2207.321705172183,2.70,-0.01111162769298976
2019-02-07,-0.009588593159561192,0.0121327178849,2193.2150533102918,2.65,-0.006390845443524035
2019-02-08,0.05819756787200958,0.0128597635065,2339.2862131720776,2.63,0.06660138486707715
2019-02-09,0.005833724066694944,0.0129350030684,2340.621395859485,2.63,0.0005707649965571154
2019-02-10,-0.009275008034758477,0.0128155854667,2342.0811434659868,2.63,0.0006236581486797242
2019-02-11,-0.02043317172429519,0.0125563796253,2332.0336220426348,2.65,-0.004289997146931867
