Date,Litecoin Return,Litecoin Price,Famala Index,US Treasury Yield,Famala Index Return
2016-01-04,0.0035308806663115217,3.495389938354492,404.8332710324199,2.24,0.008009340870207424
2016-01-05,-0.007385434721455063,3.469670057296753,403.69027778603567,2.25,-0.002823367860722778
2016-01-06,-0.004653889028150396,3.4535601139068604,400.9915518070447,2.18,-0.006685139889401449
2016-01-07,0.04267758066378623,3.604140043258667,429.3326294521574,2.16,0.0706774931227237
2016-01-08,-0.009831352896140982,3.568880081176758,424.5268095609113,2.13,-0.011193698222700797
2016-01-09,-0.0023311989680878656,3.560570001602173,418.71932272147654,2.13,-0.013679905976825033
2016-01-10,-0.006720890307843992,3.536720037460327,419.2304258546115,2.13,0.001220634218199019
2016-01-11,0.005610868097272936,3.556619882583618,419.460335713255,2.17,0.00054840928631273
2016-01-12,-0.017855000616550345,3.493680000305176,406.59885372225426,2.12,-0.030661974198659184
2016-01-13,-0.0050676327869851046,3.476020097732544,403.5310610509675,2.08,-0.00754501062460539
2016-01-14,-0.0028896639291085104,3.4659900665283203,401.69953064348005,2.10,-0.004538759427136405
2016-01-15,-0.14545997355250045,2.9967799186706543,337.9721191977938,2.03,-0.15864447574434973
2016-01-16,0.02964197346183457,3.086940050125122,360.9151341394496,2.03,0.06788434204606299
2016-01-17,-0.019875908624704012,3.0261900424957275,355.14260809216967,2.03,-0.01599413685171086
2016-01-18,0.007496122582490531,3.048959970474243,359.3337085040893,2.03,0.011801175968251995
2016-01-19,-0.01039172267330284,3.0174400806427,352.6749753854005,2.06,-0.0185307778288021
2016-01-20,0.11598738722808302,3.3885300159454346,390.53978373793814,2.01,0.10736460195725332
2016-01-21,-0.05077266984663796,3.2207798957824707,381.19069839797015,2.02,-0.02393888082408898
2016-01-22,-0.04580818276070715,3.0765700340271,354.5327012017875,2.07,-0.06993349341476111
2016-01-23,0.008708743811018006,3.103480100631714,357.33776971450504,2.07,0.007912016305432371
2016-01-24,0.024671516028978036,3.180999994277954,371.51689985339243,2.07,0.03967990887225776
2016-01-25,-0.017031994808760862,3.127279996871948,358.95910663755035,2.03,-0.03380140505263051
2016-01-26,0.008767814929049749,3.154819965362549,358.81982291046523,2.01,-0.0003880211548045576
2016-01-27,0.04118078003379358,3.287450075149536,358.15331336856747,2.02,-0.0018575047958375433
2016-01-28,-0.052227895603270014,3.1201601028442383,344.6962336986836,2.00,-0.037573517171501015
2016-01-29,-0.0028179256228128063,3.111380100250244,343.0837004744268,1.94,-0.00467812835363446
2016-01-30,-0.009877068052021333,3.0808000564575195,342.8854604271068,1.94,-0.0005778183196865724
2016-01-31,-0.009339777082561826,3.0521600246429443,334.44499823189375,1.94,-0.02461598163042377
2016-02-01,0.008183543413158934,3.077239990234375,338.78088978477086,1.97,0.012964438325583038
2016-02-02,-0.0004452880485064358,3.0758700370788574,338.8175189258203,1.87,0.00010812044644169908
2016-02-03,-0.009256394721051242,3.047529935836792,333.8273498768316,1.88,-0.014728190752383295
2016-02-04,0.03711683089502574,3.1627700328826904,352.5377772379497,1.87,0.05604821584577016
2016-02-05,-0.008050641270913242,3.1374099254608154,349.09346078720785,1.86,-0.00977006344604327
2016-02-06,-0.012318123609373751,3.0989999771118164,338.0831351709169,1.86,-0.031539764713617434
2016-02-07,-0.004216708053813273,3.0859599113464355,335.88739902330263,1.86,-0.0064946633510843226
2016-02-08,-0.007742209133485169,3.062160015106201,332.50382793631655,1.75,-0.010073527904961212
2016-02-09,0.006312124915910809,3.081549882888794,331.9639342367293,1.74,-0.0016237217566429261
2016-02-10,0.004435964045683777,3.095249891281128,335.8631495558996,1.71,0.011745900433839631
2016-02-11,-0.006362157055557471,3.07561993598938,328.16872331026883,1.63,-0.022909408953631433
2016-02-12,0.011717361731779504,3.111870050430298,333.7817766924488,1.74,0.017104169238191084
2016-02-13,0.00571008847403039,3.129689931869507,341.30979528095,1.74,0.022553713576273747
2016-02-14,0.025520748933921523,3.21058988571167,356.1537161233332,1.74,0.04349104844812426
2016-02-15,-0.008784523342261867,3.1825098991394043,349.08953747626884,1.74,-0.019834634112361988
2016-02-16,0.008292280831249384,3.209009885787964,360.0945769447963,1.78,0.031524976509144396
2016-02-17,0.009928730901365264,3.241029977798462,371.8083529454553,1.81,0.03252972066406527
2016-02-18,0.0032037365542551934,3.251430034637451,375.4393289064173,1.75,0.009765719172787618
2016-02-19,0.0004181714619622568,3.2527899742126465,371.99130533671183,1.76,-0.009183970096443813
2016-02-20,0.06117439380396599,3.4579899311065674,389.22687480093805,1.76,0.04633325891481593
2016-02-21,0.0018144899132466383,3.4642701148986816,389.8869438845038,1.76,0.0016958466290472294
2016-02-22,0.005572871511651405,3.483629941940308,385.2426047963763,1.77,-0.011912014908360904
2016-02-23,-0.025202760451715187,3.396929979324341,369.00027605024576,1.74,-0.04216129925379257
2016-02-24,-0.006515253064156585,3.3748700618743896,370.54811970567073,1.75,0.004194695115117486
2016-02-25,-0.00277434015759213,3.365520000457764,370.7848499664991,1.71,0.0006388650980510102
2016-02-26,0.015119033086260331,3.416790008544922,378.83649134137,1.76,0.021715130420237934
2016-02-27,-0.0011450231568206845,3.412879943847656,377.4630624048208,1.76,-0.003625387120671025
2016-02-28,0.008455518305510865,3.4418599605560303,378.33099333696583,1.76,0.0022993797767003926
2016-02-29,0.0012340501333487316,3.4461100101470947,382.91104454294145,1.74,0.012105937093809109
2016-03-01,-0.003820272193891597,3.4329700469970703,375.46195566443424,1.83,-0.01945383656248086
