Date,Stellar Return,Stellar Price,Famala Index,US Treasury Yield,Famala Index Return
2016-01-04,0.0024281927496942715,0.0017482599942013,404.8332710324199,2.24,0.008009340870207424
2016-01-05,-0.015616693321556796,0.0017211700323969,403.69027778603567,2.25,-0.002823367860722778
2016-01-06,-0.02900173484245537,0.0016719700070098,400.9915518070447,2.18,-0.006685139889401449
2016-01-07,0.032771083828621095,0.0017276699654757,429.3326294521574,2.16,0.0706774931227237
2016-01-08,-0.027129018789856917,0.0016814300324767,424.5268095609113,2.13,-0.011193698222700797
2016-01-09,0.03953675438330566,0.0017492399783805,418.71932272147654,2.13,-0.013679905976825033
2016-01-10,0.009173244588412722,0.0017653600079938,419.2304258546115,2.13,0.001220634218199019
2016-01-11,-0.014756939420714228,0.0017394999740645,419.460335713255,2.17,0.00054840928631273
2016-01-12,0.0022337883965278882,0.0017433899920433,406.59885372225426,2.12,-0.030661974198659184
2016-01-13,0.04520042197029874,0.0018240000354126,403.5310610509675,2.08,-0.00754501062460539
2016-01-14,0.048163393575627954,0.001914000022225,401.69953064348005,2.10,-0.004538759427136405
2016-01-15,-0.09675379203398006,0.0017374899471178,337.9721191977938,2.03,-0.15864447574434973
2016-01-16,0.0058591460680674275,0.0017477000365033,360.9151341394496,2.03,0.06788434204606299
2016-01-17,-0.01923748430011563,0.0017144000157713,355.14260809216967,2.03,-0.01599413685171086
2016-01-18,-0.0017046984928534184,0.001711479970254,359.3337085040893,2.03,0.011801175968251995
2016-01-19,0.06494999733675255,0.0018263299716636,352.6749753854005,2.06,-0.0185307778288021
2016-01-20,-0.0027195187783072183,0.0018213699804618,390.53978373793814,2.01,0.10736460195725332
2016-01-21,-0.04681362653157336,0.0017380700446665,381.19069839797015,2.02,-0.02393888082408898
2016-01-22,-0.01983799719523555,0.0017039299709722,354.5327012017875,2.07,-0.06993349341476111
2016-01-23,-0.004888867699870824,0.0016956200124695,357.33776971450504,2.07,0.007912016305432371
2016-01-24,0.016210003920785962,0.001723330002278,371.51689985339243,2.07,0.03967990887225776
2016-01-25,-0.008080907685442673,0.0017094600480049,358.95910663755035,2.03,-0.03380140505263051
2016-01-26,0.10643918580275567,0.0019014499848708,358.81982291046523,2.01,-0.0003880211548045576
2016-01-27,0.1615215627627176,0.0022347699850797,358.15331336856747,2.02,-0.0018575047958375433
2016-01-28,-0.1583080983615687,0.0019075700547546,344.6962336986836,2.00,-0.037573517171501015
2016-01-29,-0.01042335350931426,0.0018877900438383,343.0837004744268,1.94,-0.00467812835363446
2016-01-30,-0.08449167438071228,0.0017348399851471,342.8854604271068,1.94,-0.0005778183196865724
2016-01-31,0.023487868068609054,0.0017760699847713,334.44499823189375,1.94,-0.02461598163042377
2016-02-01,0.009096676610580536,0.0017923000268638,338.78088978477086,1.97,0.012964438325583038
2016-02-02,0.0020677838990250464,0.0017960099503397,338.8175189258203,1.87,0.00010812044644169908
2016-02-03,0.0059565788543363965,0.0018067399505525,333.8273498768316,1.88,-0.014728190752383295
2016-02-04,-0.0021886359297624003,0.0018027899786829,352.5377772379497,1.87,0.05604821584577016
2016-02-05,0.017098472030430842,0.0018338799709454,349.09346078720785,1.86,-0.00977006344604327
2016-02-06,0.016092285871070144,0.0018636300228536,338.0831351709169,1.86,-0.031539764713617434
2016-02-07,-0.006249254488667628,0.0018520200392231,335.88739902330263,1.86,-0.0064946633510843226
2016-02-08,-0.005821397099791413,0.0018412700155749,332.50382793631655,1.75,-0.010073527904961212
2016-02-09,-0.008382515901866349,0.0018259000498801,331.9639342367293,1.74,-0.0016237217566429261
2016-02-10,0.012350131053030608,0.0018485899781808,335.8631495558996,1.71,0.011745900433839631
2016-02-11,0.015757602471822795,0.0018779500387609,328.16872331026883,1.63,-0.022909408953631433
2016-02-12,0.221652532497788,0.0023439400829374,333.7817766924488,1.74,0.017104169238191084
2016-02-13,-0.06219482517648237,0.0022026000078767,341.30979528095,1.74,0.022553713576273747
2016-02-14,-0.0056548023074481,0.0021901798900216,356.1537161233332,1.74,0.04349104844812426
2016-02-15,0.005913540017677296,0.0022031699772924,349.08953747626884,1.74,-0.019834634112361988
2016-02-16,0.18434542508832116,0.0026491601020097,360.0945769447963,1.78,0.031524976509144396
2016-02-17,-0.20506082611646165,0.0021579999011009,371.8083529454553,1.81,0.03252972066406527
2016-02-18,-0.01665312093123929,0.0021223600488156,375.4393289064173,1.75,0.009765719172787618
2016-02-19,-0.0056559390531442655,0.0021103899925947,371.99130533671183,1.76,-0.009183970096443813
2016-02-20,-0.004288059725420691,0.0021013598889112,389.22687480093805,1.76,0.04633325891481593
2016-02-21,0.02618467193980777,0.0021571100223809,389.8869438845038,1.76,0.0016958466290472294
2016-02-22,-0.08777070325505955,0.0019758499693125,385.2426047963763,1.77,-0.011912014908360904
2016-02-23,-0.03734642028396111,0.0019034199649468,369.00027605024576,1.74,-0.04216129925379257
2016-02-24,0.028904425924502476,0.0019592400640249,370.54811970567073,1.75,0.004194695115117486
2016-02-25,0.008133210553856964,0.0019752399530261,370.7848499664991,1.71,0.0006388650980510102
2016-02-26,-0.016569956749107648,0.0019427799852564,378.83649134137,1.76,0.021715130420237934
2016-02-27,0.03064590710278707,0.0020032399334013,377.4630624048208,1.76,-0.003625387120671025
2016-02-28,-0.011093342204634938,0.001981140114367,378.33099333696583,1.76,0.0022993797767003926
2016-02-29,-0.01616110280685197,0.0019493800355121,382.91104454294145,1.74,0.012105937093809109
2016-03-01,-0.020779959557403766,0.0019092899747192,375.46195566443424,1.83,-0.01945383656248086
