Date,NEM Return,NEM Price,Famala Index,US Treasury Yield,Famala Index Return
2016-01-04,0.14775822202534372,0.0002027150039793,404.8332710324199,2.24,0.008009340870207424
2016-01-05,-0.08355215052704269,0.0001864660007413,403.69027778603567,2.25,-0.002823367860722778
2016-01-06,0.007416176889216482,0.0001878540060715,400.9915518070447,2.18,-0.006685139889401449
2016-01-07,0.29280320955858213,0.0002517579996492,429.3326294521574,2.16,0.0706774931227237
2016-01-08,0.07716459625409992,0.0002719539916142,424.5268095609113,2.13,-0.011193698222700797
2016-01-09,-0.060170375608090416,0.0002560729917604,418.71932272147654,2.13,-0.013679905976825033
2016-01-10,-0.00010536320894173785,0.0002560460125096,419.2304258546115,2.13,0.001220634218199019
2016-01-11,-0.06989411218021752,0.0002387610002188,419.460335713255,2.17,0.00054840928631273
2016-01-12,0.08470308670544238,0.0002598660066723,406.59885372225426,2.12,-0.030661974198659184
2016-01-13,-0.045870886963113214,0.0002482149866409,403.5310610509675,2.08,-0.00754501062460539
2016-01-14,0.1377130952841506,0.0002848629956133,401.69953064348005,2.10,-0.004538759427136405
2016-01-15,-0.10671370132494648,0.0002560300054028,337.9721191977938,2.03,-0.15864447574434973
2016-01-16,0.08254584584879229,0.0002780609938781,360.9151341394496,2.03,0.06788434204606299
2016-01-17,0.055116607919869415,0.0002938169927801,355.14260809216967,2.03,-0.01599413685171086
2016-01-18,0.18017398435696882,0.0003518240118864,359.3337085040893,2.03,0.011801175968251995
2016-01-19,0.28483283216405725,0.0004677640099544,352.6749753854005,2.06,-0.0185307778288021
2016-01-20,0.25816170528722465,0.0006055430276319,390.53978373793814,2.01,0.10736460195725332
2016-01-21,-0.25710833185953486,0.0004682569997385,381.19069839797015,2.02,-0.02393888082408898
2016-01-22,-0.03999417240752935,0.0004498990019783,354.5327012017875,2.07,-0.06993349341476111
2016-01-23,0.010295808947473926,0.0004545550036709,357.33776971450504,2.07,0.007912016305432371
2016-01-24,-0.09497346045230809,0.0004133709880989,371.51689985339243,2.07,0.03967990887225776
2016-01-25,-0.08766714295913985,0.000378675002139,358.95910663755035,2.03,-0.03380140505263051
2016-01-26,0.09797500376042051,0.0004176539951004,358.81982291046523,2.01,-0.0003880211548045576
2016-01-27,0.010039134773291367,0.0004218679969199,358.15331336856747,2.02,-0.0018575047958375433
2016-01-28,-0.06376324022399088,0.0003958079905714,344.6962336986836,2.00,-0.037573517171501015
2016-01-29,0.0867090426179446,0.0004316600097808,343.0837004744268,1.94,-0.00467812835363446
2016-01-30,0.07651520054992834,0.0004659850092139,342.8854604271068,1.94,-0.0005778183196865724
2016-01-31,0.05215008135793292,0.0004909309791401,334.44499823189375,1.94,-0.02461598163042377
2016-02-01,0.03214825217286992,0.0005069699836894,338.78088978477086,1.97,0.012964438325583038
2016-02-02,0.14827177613522174,0.0005879980162717,338.8175189258203,1.87,0.00010812044644169908
2016-02-03,0.06823245514273833,0.0006295189959928,333.8273498768316,1.88,-0.014728190752383295
2016-02-04,-0.0465574685411931,0.0006008819909766,352.5377772379497,1.87,0.05604821584577016
2016-02-05,0.048184337913458455,0.0006305439746938,349.09346078720785,1.86,-0.00977006344604327
2016-02-06,0.004883895743212775,0.0006336310179904,338.0831351709169,1.86,-0.031539764713617434
2016-02-07,-0.04430298792311357,0.0006061720196157,335.88739902330263,1.86,-0.0064946633510843226
2016-02-08,-0.026780239251238003,0.0005901540280319,332.50382793631655,1.75,-0.010073527904961212
2016-02-09,-0.08258938600223825,0.0005433720070868,331.9639342367293,1.74,-0.0016237217566429261
2016-02-10,-0.015295720051148804,0.0005351239815354,335.8631495558996,1.71,0.011745900433839631
2016-02-11,-0.0551024832401052,0.000506434997078,328.16872331026883,1.63,-0.022909408953631433
2016-02-12,0.18481300440808626,0.000609237991739,333.7817766924488,1.74,0.017104169238191084
2016-02-13,-0.07383582545599413,0.0005658749723806,341.30979528095,1.74,0.022553713576273747
2016-02-14,0.048334435531723015,0.0005938980029895,356.1537161233332,1.74,0.04349104844812426
2016-02-15,-0.02698845572655405,0.0005780839710496,349.08953747626884,1.74,-0.019834634112361988
2016-02-16,-0.10938103189729412,0.0005181879969313,360.0945769447963,1.78,0.031524976509144396
2016-02-17,-0.10610526115258884,0.0004660220001824,371.8083529454553,1.81,0.03252972066406527
2016-02-18,0.17837188307347124,0.0005570219946093,375.4393289064173,1.75,0.009765719172787618
2016-02-19,0.01373770333696641,0.0005647270008921,371.99130533671183,1.76,-0.009183970096443813
2016-02-20,0.07125349152280169,0.0006064340122975,389.22687480093805,1.76,0.04633325891481593
2016-02-21,0.08733726786082512,0.0006617800099775,389.8869438845038,1.76,0.0016958466290472294
2016-02-22,0.012762370641491565,0.000670280016493,385.2426047963763,1.77,-0.011912014908360904
2016-02-23,-0.03365362793683534,0.0006480980082415,369.00027605024576,1.74,-0.04216129925379257
2016-02-24,0.0042341512035980605,0.0006508479709737,370.54811970567073,1.75,0.004194695115117486
2016-02-25,-0.03361394690510642,0.0006293340120464,370.7848499664991,1.71,0.0006388650980510102
2016-02-26,0.025003613333063626,0.0006452680099755,378.83649134137,1.76,0.021715130420237934
2016-02-27,-0.0029488790259996605,0.000643367995508,377.4630624048208,1.76,-0.003625387120671025
2016-02-28,0.015982102900665617,0.0006537329754792,378.33099333696583,1.76,0.0022993797767003926
2016-02-29,-0.010576840894257351,0.0006468549836426,382.91104454294145,1.74,0.012105937093809109
2016-03-01,-0.030118756065139928,0.0006276629865169,375.46195566443424,1.83,-0.01945383656248086
