Date,ChainLink Return,ChainLink Price,Famala Index,US Treasury Yield,Famala Index Return
2017-09-22,-0.11993132439331723,0.1505029946565628,2263.1515924572404,2.26,-0.006233699889597531
2017-09-23,-0.1378014363944575,0.1311289966106414,2350.025401665617,2.26,0.03838620863839378
2017-09-24,0.261250837265276,0.1702779978513717,2272.4288551221653,2.26,-0.03301945012528553
2017-09-25,0.06766164101102769,0.1821980029344558,2440.54170547929,2.22,0.07397936792528856
2017-09-26,0.0676901338805191,0.1949580013751983,2419.8587689872234,2.24,-0.008474731837456942
2017-09-27,-0.0019099645062896466,0.1945859938859939,2615.310911825315,2.31,0.0807700620147736
2017-09-28,0.22545348443356886,0.2437949925661087,2611.8406385712356,2.31,-0.0013269065786360012
2017-09-29,0.23519965664643122,0.3084399998188019,2621.587123246636,2.33,0.0037316536589047816
2017-09-30,0.3807467983660583,0.4513640105724334,2741.3099899491244,2.33,0.0456680861913224
2017-10-01,-0.03314904914228537,0.4366469979286194,2786.8377271044556,2.33,0.016608022194591742
2017-10-02,-0.20204217941544844,0.3567669987678528,2795.2623848803323,2.34,0.0030230169822733264
2017-10-03,-0.03198893442010899,0.345535010099411,2732.4697140004037,2.33,-0.022463963032442434
2017-10-04,0.13975124359385788,0.397361010313034,2650.5516774737225,2.33,-0.029979485630510828
2017-10-05,0.022832215915401445,0.4065380096435547,2708.5806166677485,2.35,0.021893155182446448
2017-10-06,0.1572465842409783,0.4757649898529053,2725.719884955726,2.37,0.0063277674596457145
2017-10-07,-0.025778976645908787,0.4636569917201996,2757.9797777808863,2.37,0.011835366136929539
2017-10-08,-0.1548637621592605,0.3971369862556457,2886.7156505362213,2.37,0.04667759850614931
2017-10-09,-0.042561200109755656,0.3805890083312988,3077.043999459813,2.37,0.06593248936321022
2017-10-10,0.06824479234698434,0.4074690043926239,3066.943123718121,2.35,-0.0032826556082608356
2017-10-11,0.10031106901275182,0.4504629969596863,3090.827020108138,2.35,0.007787525045805907
2017-10-12,-0.014426592801578592,0.4440110027790069,3633.7040583640496,2.33,0.1756413525325393
2017-10-13,-0.0214163594662728,0.4346030056476593,3715.7982022633564,2.28,0.022592413300786766
2017-10-14,-0.10352832952281588,0.3918600082397461,3869.0978167458225,2.28,0.04125617327364242
2017-10-15,0.05379158944562958,0.4135160148143768,3738.6139947852535,2.28,-0.033724611819278036
2017-10-16,0.02458190787157485,0.4238069951534271,3783.1093887248157,2.30,0.01190157475514348
2017-10-17,-0.05569584531046909,0.4008480012416839,3742.9291619667442,2.30,-0.010620952933009211
2017-10-18,-0.09032349163329541,0.3662289977073669,3754.2177919022733,2.34,0.0030159881331009316
2017-10-19,-0.19947630015070064,0.3000000119209289,3880.060339294592,2.33,0.03352031085243823
2017-10-20,-0.29269910876167166,0.2238740026950836,4165.340505760344,2.39,0.07352467269042964
2017-10-21,0.12104436699185787,0.2526809871196747,4193.723909771781,2.39,0.0068141857723720296
2017-10-22,0.04645040453669396,0.2646949887275696,4197.005957143234,2.39,0.0007826093090690362
2017-10-23,-0.06243133945207038,0.2486750036478042,4163.770196584637,2.38,-0.00791892146400935
2017-10-24,0.022969318781122953,0.2544530034065246,3752.5058474706234,2.42,-0.0987721054950046
2017-10-25,-7.074484959344815e-05,0.2544350028038025,3955.6173875611053,2.44,0.054126908350426474
2017-10-26,-0.11391476691104746,0.2270410060882568,4102.94512641548,2.46,0.03724519447145324
2017-10-27,-0.010613694194482222,0.2246440052986145,3992.5710787246344,2.42,-0.026901175689686557
2017-10-28,-0.0840664132391336,0.2065310031175613,3976.778920877161,2.42,-0.0039553855237858294
2017-10-29,-0.03776905509776285,0.1988759934902191,4303.4050244732725,2.42,0.08213333204956422
2017-10-30,0.05370674215407867,0.2098489999771118,4276.046118476778,2.37,-0.006357501987590154
2017-10-31,-0.07898377921001974,0.193911999464035,4592.550930488279,2.38,0.07401810065702628
2017-11-01,-0.20727448869432966,0.15761099755764,4925.45205730725,2.37,0.07248719325222086
2017-11-02,0.06041749913541908,0.1674270033836364,5206.816727426249,2.35,0.05712463888498826
2017-11-03,0.025771945636310294,0.1717980057001114,5262.768339974962,2.34,0.0107458386722151
2017-11-04,0.03323135691591146,0.177603006362915,5447.283528970708,2.34,0.03506048092487838
2017-11-05,-0.03171331956634813,0.1720589995384216,5487.85119278204,2.34,0.007447320044124324
2017-11-06,-0.02711680214735701,0.1674560010433197,5109.978080781664,2.32,-0.06885629706894711
2017-11-07,0.058469699765217556,0.1775390058755874,5217.598666133595,2.32,0.021060870252396058
2017-11-08,0.18636035549418126,0.2139090001583099,5431.397132918457,2.32,0.040976410886599236
2017-11-09,0.0459569470150518,0.2239689975976944,5083.902637356766,2.33,-0.0639788413658074
2017-11-10,-0.17718494946940277,0.1876019984483719,4710.631654821997,2.40,-0.07342213436424919
2017-11-11,-0.04264447306030084,0.1797699928283691,4412.129918483046,2.40,-0.06336766663413217
2017-11-12,-0.05061129746128494,0.1708980053663253,4093.8414070474464,2.40,-0.07213942411401877
2017-11-13,0.06880714994965838,0.1830710023641586,4599.057202401713,2.40,0.12340873647048221
2017-11-14,0.027174105855911238,0.1881140023469925,4596.901249631393,2.38,-0.0004687814644258776
2017-11-15,-0.010559818573965806,0.1861380040645599,5197.009848978937,2.33,0.13054633257472406
2017-11-16,-0.09209677826096704,0.1697610020637512,5676.334072713305,2.37,0.09223077070530121
2017-11-17,-0.06141392491711341,0.1596489995718002,5532.890416709365,2.35,-0.02527047459970477
2017-11-18,0.06793710206018458,0.1708720028400421,5552.623528523085,2.35,0.003566510508526572
