Date,Famala Index,Famala Index Return,US Treasury Yield
2016-01-04,404.8332710324199,0.008009340870207424,2.24
2016-01-05,403.69027778603567,-0.002823367860722778,2.25
2016-01-06,400.9915518070447,-0.006685139889401449,2.18
2016-01-07,429.3326294521574,0.0706774931227237,2.16
2016-01-08,424.5268095609113,-0.011193698222700797,2.13
2016-01-09,418.71932272147654,-0.013679905976825033,2.13
2016-01-10,419.2304258546115,0.001220634218199019,2.13
2016-01-11,419.460335713255,0.00054840928631273,2.17
2016-01-12,406.59885372225426,-0.030661974198659184,2.12
2016-01-13,403.5310610509675,-0.00754501062460539,2.08
2016-01-14,401.69953064348005,-0.004538759427136405,2.1
2016-01-15,337.9721191977938,-0.15864447574434973,2.03
2016-01-16,360.9151341394496,0.06788434204606299,2.03
2016-01-17,355.14260809216967,-0.01599413685171086,2.03
2016-01-18,359.3337085040893,0.011801175968251995,2.03
2016-01-19,352.6749753854005,-0.0185307778288021,2.06
2016-01-20,390.53978373793814,0.10736460195725332,2.01
2016-01-21,381.19069839797015,-0.02393888082408898,2.02
2016-01-22,354.5327012017875,-0.06993349341476111,2.07
2016-01-23,357.33776971450504,0.007912016305432371,2.07
2016-01-24,371.51689985339243,0.03967990887225776,2.07
2016-01-25,358.95910663755035,-0.03380140505263051,2.03
2016-01-26,358.81982291046523,-0.0003880211548045576,2.01
2016-01-27,358.15331336856747,-0.0018575047958375433,2.02
2016-01-28,344.6962336986836,-0.037573517171501015,2.0
2016-01-29,343.0837004744268,-0.00467812835363446,1.94
2016-01-30,342.8854604271068,-0.0005778183196865724,1.94
2016-01-31,334.44499823189375,-0.02461598163042377,1.94
2016-02-01,338.78088978477086,0.012964438325583038,1.97
2016-02-02,338.8175189258203,0.00010812044644169908,1.87
2016-02-03,333.8273498768316,-0.014728190752383295,1.88
2016-02-04,352.5377772379497,0.05604821584577016,1.87
2016-02-05,349.09346078720785,-0.00977006344604327,1.86
2016-02-06,338.0831351709169,-0.031539764713617434,1.86
2016-02-07,335.88739902330263,-0.0064946633510843226,1.86
2016-02-08,332.50382793631655,-0.010073527904961212,1.75
2016-02-09,331.9639342367293,-0.0016237217566429261,1.74
2016-02-10,335.8631495558996,0.011745900433839631,1.71
2016-02-11,328.16872331026883,-0.022909408953631433,1.63
2016-02-12,333.7817766924488,0.017104169238191084,1.74
2016-02-13,341.30979528095,0.022553713576273747,1.74
2016-02-14,356.1537161233332,0.04349104844812426,1.74
2016-02-15,349.08953747626884,-0.019834634112361988,1.74
2016-02-16,360.0945769447963,0.031524976509144396,1.78
2016-02-17,371.8083529454553,0.03252972066406527,1.81
2016-02-18,375.4393289064173,0.009765719172787618,1.75
2016-02-19,371.99130533671183,-0.009183970096443813,1.76
2016-02-20,389.22687480093805,0.04633325891481593,1.76
2016-02-21,389.8869438845038,0.0016958466290472294,1.76
2016-02-22,385.2426047963763,-0.011912014908360904,1.77
2016-02-23,369.00027605024576,-0.04216129925379257,1.74
2016-02-24,370.54811970567073,0.004194695115117486,1.75
2016-02-25,370.7848499664991,0.0006388650980510102,1.71
2016-02-26,378.83649134137,0.021715130420237934,1.76
2016-02-27,377.4630624048208,-0.003625387120671025,1.76
2016-02-28,378.33099333696583,0.0022993797767003926,1.76
2016-02-29,382.91104454294145,0.012105937093809109,1.74
2016-03-01,375.46195566443424,-0.01945383656248086,1.83
2016-03-02,361.81692785194645,-0.036341971820662754,1.84
2016-03-03,356.4091535678205,-0.014946161629946643,1.83
2016-03-04,342.5254721811114,-0.038954334499344434,1.88
2016-03-05,331.0010708973931,-0.0336453847076948,1.88
2016-03-06,336.4968434985874,0.01660348888387108,1.88
2016-03-07,348.428835266608,0.03545944634714148,1.91
2016-03-08,347.11195610033496,-0.003779478140106903,1.83
2016-03-09,341.1067449786789,-0.01730050208907308,1.9
2016-03-10,344.88487598706536,0.011076095867358577,1.93
2016-03-11,348.8558840370354,0.011514010403051122,1.98
2016-03-12,331.8967372112208,-0.04861361840757773,1.98
2016-03-13,331.43243125112303,-0.0013989470459972438,1.98
2016-03-14,340.2113205978411,0.02648771972488835,1.97
2016-03-15,339.2916803721798,-0.0027031441048029565,1.97
2016-03-16,340.90610002537227,0.00475820583464214,1.94
2016-03-17,348.59507183340145,0.022554515180153483,1.91
2016-03-18,338.91122102866234,-0.0277796549268693,1.88
2016-03-19,341.3143945014316,0.007090864284384414,1.88
2016-03-20,345.12471125671084,0.011163656782905661,1.88
2016-03-21,339.55227287792155,-0.016146158756636792,1.92
2016-03-22,345.88807868075804,0.0186592943382075,1.94
2016-03-23,341.78512635059593,-0.011862080780034588,1.88
2016-03-24,344.073412997029,0.006695103063337445,1.91
2016-03-25,346.5349690846597,0.007154159532959765,1.91
2016-03-26,346.5765123226007,0.00011988180601444151,1.91
2016-03-27,356.95808024429726,0.029954620560187228,1.91
2016-03-28,351.1303312275754,-0.016326143990726884,1.89
2016-03-29,343.6225724693101,-0.02138168677145514,1.81
2016-03-30,341.5357596165973,-0.006072979541817427,1.83
2016-03-31,345.0178603637506,0.010195420681752932,1.78
2016-04-01,345.36457140717425,0.001004907522926917,1.79
2016-04-02,348.163241835464,0.008103524970400686,1.79
2016-04-03,348.1497081763217,-3.887159101273752e-05,1.79
2016-04-04,350.1763381936616,0.005821145242245829,1.78
2016-04-05,355.19767520426063,0.014339452621216341,1.73
2016-04-06,354.0306829563899,-0.0032854726518117858,1.76
2016-04-07,356.1788875713181,0.006067848687546733,1.7
2016-04-08,355.5287626028612,-0.0018252765426101574,1.72
