Date,Polkadot Return,Polkadot Price,Famala Index,US Treasury Yield,Famala Index Return
2020-08-22,0.4446068988513543,4.48469014343,8423.66105992896,0.64,0.0018613685346808937
2020-08-23,-0.12264270478293422,3.96706569209,8417.399368882296,0.64,-0.0007433455598600334
2020-08-24,0.14859773490785053,4.60261415178,8457.213518213031,0.65,0.004729982217301217
2020-08-25,0.1823679107574688,5.52339300736,8209.30543179557,0.69,-0.02931321124665692
2020-08-26,0.09629462338078669,6.08171646879,8304.849309108075,0.69,0.011638484900616804
2020-08-27,-0.07747289072558583,5.62833735301,8213.012151424322,0.74,-0.011058256961150778
2020-08-28,0.0902553537412498,6.15995475836,8336.717545848325,0.74,0.01506212241541004
2020-08-29,-0.0001317520766974733,6.15914322499,8259.759350789143,0.74,-0.009231234551961877
2020-08-30,-0.048103352419898986,5.86988080945,8336.227199184552,0.74,0.009257878486266396
2020-08-31,0.0707185134576352,6.30002021459,8296.108536102276,0.72,-0.004812568338612486
2020-09-01,-0.0017878835897168494,6.28876657493,8396.425107335748,0.68,0.012092003232229098
2020-09-02,-0.02402731445663306,6.13946524066,7927.8095574402705,0.66,-0.05581131778166638
2020-09-03,-0.06590868337803019,5.74786775393,7158.907751535653,0.63,-0.09698792589978415
2020-09-04,-0.11060188346402322,5.14603789173,7374.843195857947,0.72,0.030163182962648673
2020-09-05,-0.22181276136316494,4.12231259687,7321.888934453149,0.72,-0.007180391501007008
2020-09-06,0.15209075010580553,4.79946793988,7312.310732468789,0.72,-0.001308159966656936
2020-09-07,-0.0436084248456691,4.59466864471,7401.515890694132,0.72,0.012199311748233915
2020-09-08,-0.07227057358049484,4.27432445417,7252.863075269509,0.69,-0.020084104070022122
2020-09-09,0.09683653964432308,4.7089389523,7290.190477366621,0.71,0.0051465747677478454
2020-09-10,-0.027417746539380228,4.58158432405,7344.015236755657,0.68,0.007383176002896187
2020-09-11,0.013868490986933815,4.64556662846,7350.385587658505,0.67,0.0008674207089012616
2020-09-12,0.10056308936605268,5.13703693238,7330.879470069379,0.67,-0.0026537543311846525
2020-09-13,0.03084368072042518,5.29795089208,7312.927949916539,0.67,-0.0024487539627588927
2020-09-14,0.009535158723311692,5.34870930493,7586.43346771561,0.68,0.037400275193767374
2020-09-15,-0.048457075799966595,5.09570589956,7747.7467024318985,0.68,0.021263382247107752
2020-09-16,-0.0030235386958722683,5.08032210406,7912.9849045473675,0.69,0.02132725919700024
2020-09-17,0.04915807136038781,5.33630111171,7803.172600024166,0.69,-0.013877481866557765
2020-09-18,-0.017111929949040074,5.24576354638,7810.836646583073,0.70,0.0009821705800642378
2020-09-19,-0.06301315450390962,4.92541065463,7950.830165475538,0.70,0.01792298638759859
2020-09-20,-0.052724303667471696,4.67244901762,7882.884787357856,0.70,-0.008545696072432442
2020-09-21,-0.13201495137252559,4.09459740125,7614.033867275891,0.68,-0.03410565133631458
2020-09-22,0.019317340265640116,4.17446304487,7664.069864425604,0.68,0.0065715490660950265
2020-09-23,-0.03486826737921808,4.03141516,7514.459076269336,0.68,-0.01952106267333464
2020-09-24,0.08338162034943625,4.38197305,7830.873698402025,0.67,0.04210743832938376
2020-09-25,0.008856522959519279,4.42095446,7717.119654198224,0.66,-0.014526354093415334
2020-09-26,-0.01671745821014801,4.34766168,7764.287531403967,0.66,0.006112109092423118
2020-09-27,-0.008634998536944667,4.31028125,7772.054653423841,0.66,0.0010003650674268625
2020-09-28,0.020115031376132856,4.39786057,7728.010604255597,0.67,-0.005666976254321764
2020-09-29,0.023059674257323463,4.50045212,7827.237225085629,0.66,0.012839866029090373
2020-09-30,-0.03405246498936099,4.34978056,7777.835074973677,0.69,-0.006311569292115196
2020-10-01,-0.0013686235231829256,4.34383142,7662.508184353954,0.68,-0.014827633847727725
2020-10-02,-0.05213224107306084,4.12317927,7671.409627462561,0.70,0.001161687908768943
2020-10-03,-0.012970116175156393,4.07004647,7643.493974820995,0.70,-0.0036389208759797344
2020-10-04,0.025199131167188374,4.17391126,7703.8032205376385,0.70,0.00789027189859929
2020-10-05,-0.0002902902749989123,4.17269979,7798.871813846747,0.78,0.01234047529351008
2020-10-06,-0.10516563844749849,3.75616173,7704.844057276186,0.76,-0.01205658444130554
2020-10-07,0.026958005060182547,3.85879757,7749.252253519435,0.81,0.005763672296691284
2020-10-08,0.061275614712729645,4.10264234,7922.494036982404,0.78,0.02235593548839365
2020-10-09,0.03821700445644116,4.26246761,7987.064964105798,0.79,0.008150328270614644
2020-10-10,-0.0022341424682074014,4.25295528,8170.641756156384,0.79,0.02298426178772649
2020-10-11,0.0021624795318988467,4.26216216,8218.271518101314,0.79,0.005829378323806912
2020-10-12,0.013466779699374917,4.31994798,8326.301978863046,0.79,0.013145155952050026
2020-10-13,-0.016465528718349304,4.24940015,8241.265076859192,0.74,-0.01021304562574441
2020-10-14,-0.011904188266983386,4.19911439,8272.339124750355,0.73,0.0037705434300877435
2020-10-15,-0.02466480663753873,4.09681088,8344.048085357525,0.74,0.00866852283565364
2020-10-16,-0.04679182052302531,3.90952943,8229.807443426935,0.76,-0.013691273200002763
2020-10-17,0.014656690068096353,3.96725217,8250.70669168423,0.76,0.0025394577456350803
2020-10-18,0.034046990218073614,4.1046509,8330.519894627381,0.76,0.009673499001436254
2020-10-19,-0.02818101311584255,3.99059237,8563.778603545485,0.78,0.02800049839248801
2020-10-20,-0.02031449498549611,3.91034337,8797.544048716432,0.81,0.027296997738144074
2020-10-21,0.05734102648082212,4.14111972,9519.826894926617,0.83,0.08210050921149589
