Date,Monero Return,Monero Price,Famala Index,US Treasury Yield,Famala Index Return
2016-01-04,0.033561204617298675,0.5173879861831665,404.8332710324199,2.24,0.008009340870207424
2016-01-05,-0.03564203476132376,0.4992719888687134,403.69027778603567,2.25,-0.002823367860722778
2016-01-06,0.01151232698094435,0.5050529837608337,400.9915518070447,2.18,-0.006685139889401449
2016-01-07,-0.025109990212304926,0.4925290048122406,429.3326294521574,2.16,0.0706774931227237
2016-01-08,-0.00838380359524811,0.4884169995784759,424.5268095609113,2.13,-0.011193698222700797
2016-01-09,0.0035113437404179866,0.4901350140571594,418.71932272147654,2.13,-0.013679905976825033
2016-01-10,-0.0031817777786090325,0.4885779917240143,419.2304258546115,2.13,0.001220634218199019
2016-01-11,-0.013453369813393352,0.4820489883422851,419.460335713255,2.17,0.00054840928631273
2016-01-12,0.016590212195747918,0.4901129901409149,406.59885372225426,2.12,-0.030661974198659184
2016-01-13,-0.011927248434545153,0.4843020141124725,403.5310610509675,2.08,-0.00754501062460539
2016-01-14,0.004493265094655079,0.4864830076694488,401.69953064348005,2.10,-0.004538759427136405
2016-01-15,-0.12701390463663212,0.4284560084342956,337.9721191977938,2.03,-0.15864447574434973
2016-01-16,0.14773374820845991,0.4966680109500885,360.9151341394496,2.03,0.06788434204606299
2016-01-17,-0.09695568057122565,0.4507740139961242,355.14260809216967,2.03,-0.01599413685171086
2016-01-18,0.10832294761488126,0.5023459792137146,359.3337085040893,2.03,0.011801175968251995
2016-01-19,0.0831540168922446,0.5459039807319641,352.6749753854005,2.06,-0.0185307778288021
2016-01-20,-0.019998843646066203,0.5350949764251709,390.53978373793814,2.01,0.10736460195725332
2016-01-21,0.026313354660318717,0.5493620038032532,381.19069839797015,2.02,-0.02393888082408898
2016-01-22,-0.022768840107013695,0.536994993686676,354.5327012017875,2.07,-0.06993349341476111
2016-01-23,0.13729069748923572,0.6160200238227844,357.33776971450504,2.07,0.007912016305432371
2016-01-24,0.009740985759044203,0.6220499873161316,371.51689985339243,2.07,0.03967990887225776
2016-01-25,-0.06766055145491873,0.581354022026062,358.95910663755035,2.03,-0.03380140505263051
2016-01-26,0.006221136301319328,0.5849819779396057,358.81982291046523,2.01,-0.0003880211548045576
2016-01-27,0.043303136817147814,0.6108700037002563,358.15331336856747,2.02,-0.0018575047958375433
2016-01-28,-0.08137543119744589,0.5631290078163147,344.6962336986836,2.00,-0.037573517171501015
2016-01-29,-0.08305101620246515,0.5182499885559082,343.0837004744268,1.94,-0.00467812835363446
2016-01-30,-0.013055374791105682,0.5115280151367188,342.8854604271068,1.94,-0.0005778183196865724
2016-01-31,-0.0564978658752365,0.4834290146827698,334.44499823189375,1.94,-0.02461598163042377
2016-02-01,0.0296192762802082,0.4979619979858398,338.78088978477086,1.97,0.012964438325583038
2016-02-02,0.006156189018697477,0.5010370016098022,338.8175189258203,1.87,0.00010812044644169908
2016-02-03,-0.018254092099172465,0.4919739961624145,333.8273498768316,1.88,-0.014728190752383295
