Date,XRP Return,XRP Price,Famala Index,US Treasury Yield,Famala Index Return
2016-01-04,-0.009919165958977294,0.0059577501378953,404.8332710324199,2.24,0.008009340870207424
2016-01-05,0.014427738827736642,0.0060443300753831,403.69027778603567,2.25,-0.002823367860722778
2016-01-06,-0.006813011183561976,0.0060032899491488,400.9915518070447,2.18,-0.006685139889401449
2016-01-07,0.005960574403793826,0.0060391798615455,429.3326294521574,2.16,0.0706774931227237
2016-01-08,-0.017685998149293326,0.0059333099052309,424.5268095609113,2.13,-0.011193698222700797
2016-01-09,0.008176073224002614,0.0059820199385285,418.71932272147654,2.13,-0.013679905976825033
2016-01-10,-0.004349140334419031,0.0059560597874224,419.2304258546115,2.13,0.001220634218199019
2016-01-11,-0.010362293506902358,0.0058946600183844,419.460335713255,2.17,0.00054840928631273
2016-01-12,-0.0068567857928581,0.005854379851371,406.59885372225426,2.12,-0.030661974198659184
2016-01-13,-0.010429322532569424,0.0057936399243772,403.5310610509675,2.08,-0.00754501062460539
2016-01-14,-0.046688690142754986,0.0055293599143624,401.69953064348005,2.10,-0.004538759427136405
2016-01-15,-0.0557888683527623,0.0052293301559984,337.9721191977938,2.03,-0.15864447574434973
2016-01-16,-0.022682674903477317,0.005112050101161,360.9151341394496,2.03,0.06788434204606299
2016-01-17,0.029632528328056476,0.0052657998166978,355.14260809216967,2.03,-0.01599413685171086
2016-01-18,0.011373044888206422,0.005326029844582,359.3337085040893,2.03,0.011801175968251995
2016-01-19,-0.010440971817457857,0.0052707102149724,352.6749753854005,2.06,-0.0185307778288021
2016-01-20,0.02068492284937246,0.0053808698430657,390.53978373793814,2.01,0.10736460195725332
2016-01-21,-0.012774349206155508,0.0053125699050724,381.19069839797015,2.02,-0.02393888082408898
2016-01-22,-0.03802146307941522,0.0051143700256943,354.5327012017875,2.07,-0.06993349341476111
2016-01-23,0.0011178281448731265,0.0051200902089476,357.33776971450504,2.07,0.007912016305432371
2016-01-24,0.01920654497842675,0.0052193799056112,371.51689985339243,2.07,0.03967990887225776
2016-01-25,-0.01636691356898039,0.0051346500404179,358.95910663755035,2.03,-0.03380140505263051
2016-01-26,0.05389961692353926,0.0054190000519156,358.81982291046523,2.01,-0.0003880211548045576
2016-01-27,0.18279508322707527,0.0065058800391852,358.15331336856747,2.02,-0.0018575047958375433
2016-01-28,-0.043978763985430824,0.0062259598635137,344.6962336986836,2.00,-0.037573517171501015
2016-01-29,0.09399283140988593,0.0068395398557186,343.0837004744268,1.94,-0.00467812835363446
2016-01-30,-0.030500479702223596,0.0066340798512101,342.8854604271068,1.94,-0.0005778183196865724
2016-01-31,-0.036048548921649985,0.0063991900533437,334.44499823189375,1.94,-0.02461598163042377
2016-02-01,0.022027152841516656,0.0065417098812758,338.78088978477086,1.97,0.012964438325583038
2016-02-02,0.034046923754536884,0.0067682699300348,338.8175189258203,1.87,0.00010812044644169908
2016-02-03,0.016745167156591623,0.0068825599737465,333.8273498768316,1.88,-0.014728190752383295
2016-02-04,0.012690556529598395,0.0069704600609838,352.5377772379497,1.87,0.05604821584577016
2016-02-05,0.040985057470138656,0.007262079976499,349.09346078720785,1.86,-0.00977006344604327
2016-02-06,0.08700389602639415,0.0079222097992897,338.0831351709169,1.86,-0.031539764713617434
2016-02-07,0.05117002677278332,0.0083381403237581,335.88739902330263,1.86,-0.0064946633510843226
2016-02-08,-0.04254678422779663,0.0079908203333616,332.50382793631655,1.75,-0.010073527904961212
2016-02-09,-0.022194758146773963,0.0078154196962714,331.9639342367293,1.74,-0.0016237217566429261
2016-02-10,0.004855477492157334,0.0078534595668315,335.8631495558996,1.71,0.011745900433839631
2016-02-11,-0.004886103303203123,0.0078151803463697,328.16872331026883,1.63,-0.022909408953631433
2016-02-12,0.020793953372988366,0.0079793902114033,333.7817766924488,1.74,0.017104169238191084
2016-02-13,0.03425502198700784,0.0082574598491191,341.30979528095,1.74,0.022553713576273747
2016-02-14,0.03948873824037708,0.0085900602862238,356.1537161233332,1.74,0.04349104844812426
2016-02-15,0.0047128934312295435,0.008630639873445,349.08953747626884,1.74,-0.019834634112361988
2016-02-16,-0.021046891064295848,0.0084508899599313,360.0945769447963,1.78,0.031524976509144396
2016-02-17,-0.037738403651875904,0.008137909695506,371.8083529454553,1.81,0.03252972066406527
2016-02-18,-0.01767948447139573,0.0079952999949455,375.4393289064173,1.75,0.009765719172787618
2016-02-19,0.03072277665221416,0.0082447500899434,371.99130533671183,1.76,-0.009183970096443813
2016-02-20,0.0009516823528807097,0.0082526002079248,389.22687480093805,1.76,0.04633325891481593
2016-02-21,-0.018624803081414572,0.0081003196537494,389.8869438845038,1.76,0.0016958466290472294
2016-02-22,-0.00619287146963228,0.0080503104254603,385.2426047963763,1.77,-0.011912014908360904
2016-02-23,-0.010065112447833141,0.0079696895554661,369.00027605024576,1.74,-0.04216129925379257
2016-02-24,0.013262349386532975,0.0080760903656482,370.54811970567073,1.75,0.004194695115117486
2016-02-25,-0.006053478746257239,0.0080273495987057,370.7848499664991,1.71,0.0006388650980510102
2016-02-26,0.0038022359758432315,0.0080579295754432,378.83649134137,1.76,0.021715130420237934
2016-02-27,-0.010692368591648772,0.0079722302034497,377.4630624048208,1.76,-0.003625387120671025
2016-02-28,-0.010507555562674888,0.007888900116086,378.33099333696583,1.76,0.0022993797767003926
2016-02-29,0.004257660094933875,0.0079225599765777,382.91104454294145,1.74,0.012105937093809109
2016-03-01,0.010434411960625922,0.0080056600272655,375.46195566443424,1.83,-0.01945383656248086
