Date,Cosmos Return,Cosmos Price,Famala Index,US Treasury Yield,Famala Index Return
2019-03-16,-0.016183497858949507,7.38388208145,2535.005003737605,2.59,0.02145066394268678
2019-03-17,-0.4356617827274414,4.77616414815,2527.95071668313,2.59,-0.0027827507417437845
2019-03-18,0.0676284077010614,5.11034109552,2535.007902762146,2.60,0.0027916628407517272
2019-03-19,-0.058101612939497914,4.82188311556,2561.2530603944733,2.61,0.010353087106249513
2019-03-20,-0.09579746393247877,4.38139460075,2573.2184645734706,2.54,0.004671699319377044
2019-03-21,-0.18732257942607033,3.63294820484,2545.6598690871247,2.54,-0.010709776828417842
2019-03-22,-0.037696914312227894,3.49854644907,2537.042244158477,2.44,-0.0033852224459735127
2019-03-23,-0.015273801144304287,3.44551636275,2535.43450177785,2.44,-0.0006337073749279012
2019-03-24,0.08873870105671998,3.76524330453,2536.036421368509,2.44,0.00023740293438332335
2019-03-25,0.0034724936880560957,3.77834081549,2500.6966966621653,2.43,-0.013935022544854986
2019-03-26,-0.009156375439698106,3.74390281269,2514.4743131001114,2.41,0.005509511191955404
2019-03-27,0.008780572935695218,3.77692117232,2559.174752211354,2.39,0.01777725025002594
2019-03-28,-0.07832399286727487,3.49238603477,2554.7180037347757,2.39,-0.0017414787609667695
2019-03-29,0.013495361988709955,3.53983650902,2570.6606581063834,2.41,0.00624047521029753
2019-03-30,-0.02091044905857273,3.4665854632,2580.389364069898,2.41,0.003784515833638271
2019-03-31,0.044498223040049155,3.62432591368,2580.3390144344257,2.41,-1.9512417844110392e-05
2019-04-01,0.027447641338361233,3.72518292313,2613.4373912344604,2.49,0.012827142718411115
2019-04-02,0.016510110783714067,3.78719662376,3085.213811340748,2.48,0.18051950342818185
2019-04-03,-0.005359912303096539,3.76695188546,3164.3763106253396,2.52,0.025658675257320192
2019-04-04,-0.00523180420401556,3.74729539504,3144.0482140135605,2.51,-0.00642404525135693
2019-04-05,0.016186046725531523,3.808442826,3176.2183060719003,2.50,0.01023206066464001
2019-04-06,0.15508921443321844,4.44735533578,3200.5394425745076,2.50,0.007657262240480488
2019-04-07,0.03729707138797501,4.61636077815,3286.4762274916247,2.50,0.02685071890505739
2019-04-08,0.1660184556725231,5.45005194598,3353.741638737246,2.52,0.020467335404084436
2019-04-09,-0.34908606233544315,3.84409835599,3310.103665931131,2.51,-0.013011727648330512
2019-04-10,-0.024841227515155075,3.74978254444,3390.6117391318267,2.48,0.024321918986802648
2019-04-11,-0.06613523091252844,3.50981250699,3253.9501259834783,2.51,-0.04030588686139005
2019-04-12,0.20457135271456878,4.3065364448,3283.8333659258483,2.56,0.00918368099859491
2019-04-13,-0.0008130007920686317,4.30303665012,3291.403487441205,2.56,0.0023052696869173815
2019-04-14,0.03643009031281696,4.46268704679,3329.3231646617883,2.56,0.011520823066898637
2019-04-15,-0.025663835054346495,4.34961452582,3278.3515258608895,2.55,-0.015309910236988584
2019-04-16,0.015742709477101678,4.41863107198,3391.310327212625,2.60,0.03445597595641385
2019-04-17,-0.016622899303223568,4.34578772377,3405.9464357949537,2.59,0.004315767998252862
2019-04-18,0.0038332300371984747,4.36247809639,3423.3175224085808,2.57,0.005100223077810278
2019-04-19,0.11130889682984432,4.87611679058,3436.3674492447926,2.57,0.0038120702361930407
2019-04-20,0.108617625684389,5.43558303596,3472.8855284129636,2.57,0.010626942463966279
2019-04-21,-0.04127063231901582,5.2158191759,3484.543532669512,2.57,0.003356863956836436
2019-04-22,-0.17385581048804585,4.3834686769,3544.952432563992,2.59,0.01733624485620949
2019-04-23,-0.06147011196753008,4.12213088342,3710.9011168147485,2.57,0.046812668831984705
2019-04-24,-0.12529555399686654,3.63669273874,3671.803110792557,2.53,-0.01053598702617847
2019-04-25,-0.09579016162837754,3.30449782834,3506.050540108699,2.54,-0.045142009438540034
2019-04-26,0.09489402976206125,3.63343524228,3544.7484400120507,2.51,0.011037462084660079
2019-04-27,-0.056423115697864186,3.43410188944,3532.1758150108462,2.51,-0.0035468313799897387
2019-04-28,0.2547445824635327,4.43044493263,3555.2037652941476,2.51,0.00651948019842004
2019-04-29,-0.16732118149500186,3.74783685087,3541.152425030814,2.54,-0.003952330496637834
2019-04-30,0.04925785692979548,3.93706960184,3555.742793674398,2.51,0.004120231747284101
2019-05-01,0.10892073250315729,4.39012378273,3609.259077419207,2.52,0.015050662224504466
2019-05-02,0.04553679499595369,4.59465751249,3698.6311884077886,2.55,0.024761899623034753
2019-05-03,0.14485678382531209,5.31084524286,3887.50721524982,2.54,0.05106646681453527
2019-05-04,-0.00962151068327113,5.2599919238,3967.718551034694,2.54,0.020633102742606567
2019-05-05,-0.08038707389833147,4.85370542039,3948.523607354328,2.54,-0.004837778545396195
2019-05-06,-0.026793918265406582,4.72538244866,3883.5476100574683,2.51,-0.016455770246843252
2019-05-07,-0.02395611561245994,4.61352581508,3973.8647967582788,2.45,0.023256361391556096
2019-05-08,-0.05770480950431157,4.35483871018,4108.601228749656,2.49,0.0339056407005316
2019-05-09,-0.11123260919076465,3.89640746147,4301.851636477676,2.45,0.04703557171130737
2019-05-10,-0.01642955626445699,3.83291422691,4463.776020360116,2.47,0.03764062491355979
2019-05-11,0.047104077732333695,4.0177798998,5061.008005146564,2.47,0.13379524018731265
2019-05-12,-0.06285924516751884,3.77299924614,4914.402059372911,2.47,-0.02896773639254641
2019-05-13,0.04252920067056325,3.93692295322,5613.849506491346,2.40,0.14232605282761215
2019-05-14,0.015452159577434933,3.99822935324,5574.116351521773,2.42,-0.007077702194123469
