Date,Bitcoin Return,Bitcoin Price,Famala Index,US Treasury Yield,Famala Index Return
2017-10-08,0.04063463202861561,4610.47998046875,2886.7156505362213,2.37,0.04667759850614931
2017-10-09,0.03443773060751759,4772.02001953125,3077.043999459813,2.37,0.06593248936321022
2017-10-10,0.0020871274361351166,4781.990234375,3066.943123718121,2.35,-0.0032826556082608356
2017-10-11,0.009260592591038536,4826.47998046875,3090.827020108138,2.35,0.007787525045805907
2017-10-12,0.12093108463263826,5446.91015625,3633.7040583640496,2.33,0.1756413525325393
2017-10-13,0.03611310687508494,5647.2099609375,3715.7982022633564,2.28,0.022592413300786766
2017-10-14,0.03216238155630449,5831.7900390625,3869.0978167458225,2.28,0.04125617327364242
2017-10-15,-0.026691482867168537,5678.18994140625,3738.6139947852535,2.28,-0.033724611819278036
2017-10-16,0.008313063950489405,5725.58984375,3783.1093887248157,2.30,0.01190157475514348
2017-10-17,-0.021195572848553824,5605.509765625,3742.9291619667442,2.30,-0.010620952933009211
2017-10-18,-0.002647296986752327,5590.68994140625,3754.2177919022733,2.34,0.0030159881331009316
2017-10-19,0.020857095323062205,5708.52001953125,3880.060339294592,2.33,0.03352031085243823
2017-10-20,0.0517062173997819,6011.4501953125,4165.340505760344,2.39,0.07352467269042964
2017-10-21,0.0033463152036217036,6031.60009765625,4193.723909771781,2.39,0.0068141857723720296
2017-10-22,-0.0038505258934469068,6008.419921875,4197.005957143234,2.39,0.0007826093090690362
2017-10-23,-0.013083660993739222,5930.31982421875,4163.770196584637,2.38,-0.00791892146400935
2017-10-24,-0.07049808413802779,5526.64013671875,3752.5058474706234,2.42,-0.0987721054950046
2017-10-25,0.039758880928574096,5750.7998046875,3955.6173875611053,2.44,0.054126908350426474
2017-10-26,0.026431731700242787,5904.830078125,4102.94512641548,2.46,0.03724519447145324
2017-10-27,-0.021211310291386017,5780.89990234375,3992.5710787246344,2.42,-0.026901175689686557
2017-10-28,-0.004822288401198703,5753.08984375,3976.778920877161,2.42,-0.0039553855237858294
2017-10-29,0.06734084346998825,6153.85009765625,4303.4050244732725,2.42,0.08213333204956422
2017-10-30,-0.003796746882877619,6130.52978515625,4276.046118476778,2.37,-0.006357501987590154
2017-10-31,0.05364759642581373,6468.39990234375,4592.550930488279,2.38,0.07401810065702628
2017-11-01,0.04517490778615678,6767.31005859375,4925.45205730725,2.37,0.07248719325222086
2017-11-02,0.04495834544204169,7078.5,5206.816727426249,2.35,0.05712463888498826
2017-11-03,0.018096170044845903,7207.759765625,5262.768339974962,2.34,0.0107458386722151
2017-11-04,0.023608699089706,7379.9501953125,5447.283528970708,2.34,0.03506048092487838
2017-11-05,0.003713981650421861,7407.41015625,5487.85119278204,2.34,0.007447320044124324
2017-11-06,-0.053324601848219855,7022.759765625,5109.978080781664,2.32,-0.06885629706894711
2017-11-07,0.017169747457020566,7144.3798828125,5217.598666133595,2.32,0.021060870252396058
2017-11-08,0.043187833291546796,7459.68994140625,5431.397132918457,2.32,0.040976410886599236
2017-11-09,-0.04329978834888477,7143.580078125,5083.902637356766,2.33,-0.0639788413658074
2017-11-10,-0.07639967782768012,6618.14013671875,4710.631654821997,2.40,-0.07342213436424919
2017-11-11,-0.040163421356786085,6357.60009765625,4412.129918483046,2.40,-0.06336766663413217
2017-11-12,-0.0662480083528882,5950.06982421875,4093.8414070474464,2.40,-0.07213942411401877
2017-11-13,0.0975099371105213,6559.490234375,4599.057202401713,2.40,0.12340873647048221
2017-11-14,0.01155880655935634,6635.75,4596.901249631393,2.38,-0.0004687814644258776
2017-11-15,0.09752915968167002,7315.5400390625,5197.009848978937,2.33,0.13054633257472406
2017-11-16,0.07327191344658618,7871.68994140625,5676.334072713305,2.37,0.09223077070530121
2017-11-17,-0.02088556075564038,7708.990234375,5532.890416709365,2.35,-0.02527047459970477
2017-11-18,0.010472891923132355,7790.14990234375,5552.623528523085,2.35,0.003566510508526572
2017-11-19,0.031132347250235382,8036.490234375,5747.992315315344,2.35,0.03518495100355277
2017-11-20,0.020219707267558867,8200.6396484375,5837.1513425734465,2.37,0.015511333760927455
2017-11-21,-0.01590258224989855,8071.259765625,5754.847907755093,2.36,-0.01409993162556383
2017-11-22,0.02233381227401497,8253.5498046875,5843.624798708322,2.32,0.015426453031642275
2017-11-23,-0.02636729831656395,8038.77001953125,5587.798391008228,2.32,-0.04377871894797935
2017-11-24,0.02638433629480957,8253.6904296875,5620.654560718361,2.34,0.005879984818887638
2017-11-25,0.06305893658721441,8790.919921875,6078.192784857828,2.34,0.08140301439926786
2017-11-26,0.05957458008958222,9330.5498046875,6544.287770390303,2.34,0.0766831527117114
2017-11-27,0.05095910220949361,9818.349609375,6900.535352988427,2.32,0.05443641769696766
2017-11-28,0.024194809821774188,10058.7998046875,6958.8021900943895,2.34,0.008443814012303973
2017-11-29,-0.017064228542038876,9888.6103515625,7073.440490922552,2.37,0.016473855370015597
2017-11-30,0.03429276074330862,10233.599609375,7278.024112422068,2.42,0.02892278824739689
2017-12-01,0.06999820553385039,10975.599609375,7836.957623257243,2.37,0.07679742498808041
2017-12-02,0.008979571044842705,11074.599609375,7911.208665333975,2.37,0.009474472830678834
2017-12-03,0.022199572962955286,11323.2001953125,8097.261599426728,2.37,0.023517637059431423
2017-12-04,0.029070296029922785,11657.2001953125,8286.431540495141,2.37,0.023362211871950155
2017-12-05,0.022016762442421917,11916.7001953125,8420.247539327636,2.36,0.016148808830260264
2017-12-06,0.18172416088180857,14291.5,10660.384828875853,2.33,0.2660417379756858
2017-12-07,0.22511895434132784,17899.69921875,14117.934464240043,2.37,0.32433628718530905
2017-12-08,-0.07722626494389065,16569.400390625,12474.501653847665,2.38,-0.116407454260048
2017-12-09,-0.08769744361032222,15178.2001953125,11182.834476943299,2.38,-0.10354459141908576
2017-12-10,0.01809828138568269,15455.400390625,11650.976436207226,2.38,0.04186254926952009
2017-12-11,0.09153033338474723,16936.80078125,12583.766296795886,2.39,0.08006108893069858
2017-12-12,0.027866079189228038,17415.400390625,12242.032625730213,2.40,-0.027156708334029212
2017-12-13,-0.05957373243077356,16408.19921875,11138.319854660731,2.36,-0.09015764005968313
2017-12-14,0.009450503424906668,16564.0,10807.873243111764,2.35,-0.029667545541951224
2017-12-15,0.06672275050137494,17706.900390625,11934.429584517406,2.35,0.10423478477818336
2017-12-16,0.09632672719671541,19497.400390625,13295.983604662611,2.35,0.11408622511054543
2017-12-17,-0.01845892013095586,19140.80078125,12801.42905520413,2.35,-0.037195785145602366
2017-12-18,-0.0013907497993828459,19114.19921875,12406.180040901918,2.39,-0.030875382162238518
2017-12-19,-0.07254290633921227,17776.69921875,11054.93629592897,2.46,-0.1089169865758867
2017-12-20,-0.06700506450657447,16624.599609375,10177.195647905137,2.49,-0.07939807381314945
2017-12-21,-0.05069001039219793,15802.900390625,9180.44893245817,2.48,-0.09793923099553815
2017-12-22,-0.1332232172821606,13831.7998046875,8141.173086945104,2.48,-0.1132053403008025
2017-12-23,0.06082280889142556,14699.2001953125,8646.90783452,2.48,0.06212062342537268
2017-12-24,-0.05404986305608948,13925.7998046875,8207.787778379168,2.48,-0.05078347827275153
2017-12-25,0.007212278283202518,14026.599609375,8084.352372736146,2.48,-0.015038815448929335
2017-12-26,0.1378513383721832,16099.7998046875,9668.186813002365,2.47,0.19591358308521756
2017-12-27,-0.016363152489107035,15838.5,9317.869951260931,2.42,-0.036233977323473575
2017-12-28,-0.08097704981335378,14606.5,8389.119273660137,2.43,-0.09967414038388804
2017-12-29,0.003396832333957667,14656.2001953125,7761.945348418194,2.40,-0.07476040151331757
2017-12-30,-0.12359779448691187,12952.2001953125,6583.054815222797,2.40,-0.15188080826099135
2017-12-31,0.08890117328095244,14156.400390625,7260.6673954483895,2.40,0.10293284793234093
2018-01-01,-0.0358999768524143,13657.2001953125,6760.03713830496,2.40,-0.06895099718481361
2018-01-02,0.0925892597121414,14982.099609375,7446.783076964166,2.46,0.1015890777829963
2018-01-03,0.014505086054969111,15201.0,6930.043044615459,2.44,-0.06939104134068143
2018-01-04,0.02585842824803167,15599.2001953125,7094.142404143028,2.46,0.023679414178397102
2018-01-05,0.11094452953729485,17429.5,8500.683954020968,2.47,0.1982680174359778
2018-01-06,0.005578376143830052,17527.0,8442.450847824826,2.47,-0.006850402451275237
2018-01-07,-0.061740689989334026,16477.599609375,7435.444242091953,2.47,-0.11927894208496642
2018-01-08,-0.08267549955484522,15170.099609375,7147.103653929261,2.49,-0.03877920118483304
2018-01-09,-0.03861992220665626,14595.400390625,6896.490832157766,2.55,-0.035064948531104013
2018-01-10,0.025562164635524225,14973.2998046875,7252.419912440688,2.55,0.05161017232463415
