Date,EOS Return,EOS Price,Famala Index,US Treasury Yield,Famala Index Return
2017-07-03,0.41075596340920073,4.086639881134033,1355.4211670981313,2.35,0.0218949672195162
2017-07-04,-0.192217053529171,3.371999979019165,1386.5019696225902,2.35,0.022930734209353477
2017-07-05,-0.11581762617009131,3.003230094909668,1394.6614913369367,2.33,0.005884969436118115
2017-07-06,0.1126483308634164,3.361330032348633,1400.6996630608937,2.37,0.0043294890993001945
2017-07-07,-0.18232096098353176,2.801110029220581,1380.641539528807,2.39,-0.014320074503519537
2017-07-08,-0.07955553160515964,2.586899995803833,1409.7554431106964,2.39,0.021087228471936004
2017-07-09,-0.12093515079317047,2.2922298908233643,1385.8926469651126,2.39,-0.016926904777845284
2017-07-10,-0.22376751671763417,1.832640051841736,1339.5862704326348,2.38,-0.033412672066542436
2017-07-11,-0.10146121680518741,1.6558200120925903,1354.4767256637374,2.37,0.01111571203719006
2017-07-12,0.22483557890280292,2.073280096054077,1336.2791356711446,2.33,-0.013435144102365754
2017-07-13,-0.17480440667998537,1.7407699823379517,1338.7944937599857,2.35,0.0018823597717686465
2017-07-14,-0.11896066518847173,1.5455299615859983,1269.2762454807637,2.33,-0.05192600403067164
2017-07-15,-0.17084343412135508,1.3028099536895752,1143.8375271377602,2.33,-0.09882696441348046
2017-07-16,-0.03812115302343587,1.254080057144165,1124.372059643211,2.33,-0.017017685670147404
2017-07-17,0.20543204990188157,1.540079951286316,1274.9038977835105,2.31,0.13388080649039485
2017-07-18,0.09694512676908801,1.6968599557876587,1286.9084266272469,2.27,0.009416026466470826
2017-07-19,-0.08488879475239804,1.5587600469589231,1313.4678936015405,2.27,0.02063819493660568
2017-07-20,0.11281805460537091,1.744920015335083,1679.367182028933,2.27,0.2785749771348377
2017-07-21,0.04205634916340419,1.8198699951171875,1577.767000552347,2.24,-0.060499087134617775
2017-07-22,0.07337297793634595,1.9584200382232664,1657.4845332432776,2.24,0.05052554189751901
2017-07-23,-0.04883409815350692,1.865079998970032,1603.324456502788,2.24,-0.03267606765205344
2017-07-24,0.004904661338417544,1.874250054359436,1624.7553942602738,2.26,0.01336656324960664
2017-07-25,-0.12860371558534892,1.648069977760315,1526.489878436755,2.33,-0.06048019053862421
2017-07-26,0.051869294291247904,1.7358100414276123,1492.7315602081871,2.29,-0.022114996440814216
2017-07-27,0.11766711833453139,1.9525599479675293,1603.7519701556039,2.32,0.07437399523591036
2017-07-28,-0.05615810059376879,1.8459299802780151,1745.150443626587,2.30,0.08816729525655016
2017-07-29,-0.006985563554029034,1.833080053329468,1651.385039020869,2.30,-0.05372912401229126
2017-07-30,-0.0281490969799426,1.7821999788284302,1698.7128554359576,2.30,0.028659467838675567
2017-07-31,-0.024170350495608693,1.7396399974822998,1781.3380604507274,2.30,0.04863988916688622
2017-08-01,0.023586641929183933,1.7811599969863892,1603.590781252809,2.26,-0.09978301319904631
2017-08-02,-0.0015451527474690246,1.7784099578857422,1603.9935170067354,2.27,0.00025114621425535857
2017-08-03,0.014275648147041471,1.803979992866516,1665.787400289842,2.24,0.0385250205988502
2017-08-04,0.0007813039678315459,1.8053900003433228,1738.475452809844,2.27,0.04363585203451201
2017-08-05,0.05597052094933882,1.9093199968338013,1962.202100169228,2.27,0.1286912892544911
2017-08-06,-0.09554379691099761,1.7353399991989136,1925.223461352204,2.27,-0.018845479175582863
2017-08-07,0.04131098653634441,1.8085299730300903,2038.461232165229,2.26,0.058817988190052024
2017-08-08,0.03934239755253216,1.881100058555603,2014.4557739827815,2.29,-0.011776264274081459
2017-08-09,-0.02832797429427854,1.8285599946975708,1961.920769904982,2.24,-0.026079005931181305
2017-08-10,-0.0018282473602819914,1.825219988822937,1993.149500357614,2.20,0.015917426907175434
2017-08-11,-0.021727638384325877,1.7859899997711182,2186.04001979234,2.19,0.09677674424327792
2017-08-12,-0.06772429353117375,1.669039964675903,2379.5827659059114,2.19,0.0885357744420236
2017-08-13,-0.03199145372753761,1.6164900064468384,2561.596201484675,2.19,0.0764896427166175
2017-08-14,0.025475556165740557,1.6582000255584717,2756.5656972185807,2.22,0.0761125018927274
2017-08-15,-0.0070262127524057146,1.646589994430542,2670.8245666298885,2.27,-0.031104330535349237
2017-08-16,-0.030016191547442343,1.5979000329971311,2802.546266679015,2.23,0.04931873912457532
2017-08-17,-0.03272829405296148,1.5464500188827517,2774.6827434893316,2.19,-0.009942217019204199
2017-08-18,-0.08393283694810406,1.4219499826431274,2646.3953230809448,2.19,-0.04623498694018534
2017-08-19,-0.01234778381818219,1.4045000076293943,2663.655399037965,2.19,0.00652210794301351
2017-08-20,-0.02460788167437364,1.370360016822815,2563.13836017939,2.19,-0.0377365025877141
2017-08-21,-0.02178468965122415,1.3408299684524536,2428.544742048136,2.18,-0.05251125737973586
2017-08-22,-0.0429192618735256,1.284500002861023,2480.8018338105453,2.22,0.021517862470319504
2017-08-23,0.09387954821650954,1.410930037498474,2505.1759233590906,2.17,0.00982508526733324
2017-08-24,-0.02189749372064564,1.380370020866394,2664.99521952439,2.19,0.06379563793308539
2017-08-25,-0.0013774464563182385,1.378469944000244,2675.6377473040357,2.17,0.003993450983204761
2017-08-26,-0.012842585817408787,1.3608800172805786,2649.462789418623,2.17,-0.009782698689980222
2017-08-27,-0.00964305727880888,1.3478200435638428,2654.6063981319408,2.17,0.0019413779781548054
2017-08-28,-0.008404331829395604,1.3365399837493896,2633.2550419391123,2.16,-0.008043134457844114
2017-08-29,-0.01952278229961116,1.3107000589370728,2769.147637989049,2.13,0.051606317612845586
